Run	BioProject	Instrument	Layout	LibrarySelection	Tissue	Sex	Stage	Age	Species	Seq_type
SRR10856119	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E4.5	Embryo	Chicken	Single
SRR10856120	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E4.5	Embryo	Chicken	Single
SRR10856121	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E4.5	Embryo	Chicken	Single
SRR10856122	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E4.5	Embryo	Chicken	Single
SRR10856123	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E4.5	Embryo	Chicken	Single
SRR10856124	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E4.5	Embryo	Chicken	Single
SRR10856125	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E4.5	Embryo	Chicken	Single
SRR10856126	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E4.5	Embryo	Chicken	Single
SRR10856127	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E6.5	Embryo	Chicken	Single
SRR10856128	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E6.5	Embryo	Chicken	Single
SRR10856129	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E6.5	Embryo	Chicken	Single
SRR10856130	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E6.5	Embryo	Chicken	Single
SRR10856131	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E6.5	Embryo	Chicken	Single
SRR10856132	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E6.5	Embryo	Chicken	Single
SRR10856133	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E6.5	Embryo	Chicken	Single
SRR10856134	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Male	E6.5	Embryo	Chicken	Single
SRR10856135	PRJNA600155	NextSeq 500	PAIRED	cDNA	Gonad	Female	E8.5	Embryo	Chicken	Single
