Gene_Symbol,SRR1758112,SRR1758113,SRR1758114,SRR1758115,SRR1758116,SRR1758117,SRR1758118,SRR1758119,SRR1758120,SRR1758121,SRR1758122,SRR1758123
1433B,10493.49,20426.55,11771.49,2317,12830.72,20747.03,12990.22,2056,23961,17130.36,5924.42,1983
1433F,10782.59,18783.31,4603.52,1288.26,12309.14,20136.93,4607.11,1407.73,28746.99,17264.11,1998.55,1122
1433G,11806.41,25751.35,2651.75,726,13549.13,24058.68,2231.77,677.33,33976.84,19771.88,1364.99,667.01
1433S,2,3,0,0,1,0,0,1,0,0,0,0
1433Z,10472.58,18166.98,10573.01,2003.04,12398.68,21650.11,8918.75,1535.11,28489.44,16147.89,4757,1641.09
2A5E,228,494,457.02,249.06,321,506,496.4,183.01,598,413,345,149
2ABA,2769.81,5257.14,9549.38,3011.65,3864.5,5408.22,9444.9,2638.82,5469.25,4743.38,5251.05,2473.47
2ABB,1097.99,1950,342,864.51,1159.98,2007,277,1287,1805,1562.13,137,919.33
4EBP1,332,678,4349.4,1698.99,418,675,4249.4,1464,680,627,2105,1003
5HT1A,86,429,3,56,133,207,47,103,205,209,4,69
5HT1B,533,2027,415.81,24,675,2393,212.95,9,1688.04,1151.99,245.97,10
A1AF,7,8,18,3,6,9,15,1,3,8,7,1
A1AT,7,5,1540.12,8,12,6,1755.15,2,1,4,594,1
A2MG,0,0,0,1,0,0,0,0,0,0,1,0
A2ML1,0,0,0,1,1,0,0,0,1,1,0,0
A4GAT,22,49,155.97,296.93,31,57,113,263,63,37,57,172
A4GCT,13,11,114,2,5,1,60,3,2,3,70,5
AA1R,431,466,28,11,480.46,508,18,2,530,497,7,4
AAKG1,986.04,1787.75,1595.31,841.08,1214.07,1418.79,1468.03,781.19,1208.33,1451,744.78,684.94
AAKG3,0,0,2,0,0,0,1,1,0,0,0,0
AATC,5283.21,7488,3091.85,7804,4700,6949.53,2507.48,7719.8,6891.93,6051.72,1684,7582.94
ABCAD,0,0,3,3,0,1,1,2,2,2,1,3
ABCD2,1855.03,3036.84,1606.94,875.24,2454.46,2992.37,1794.95,1055,3466.77,2950.23,1055,1069.03
ABCG5,0,3,0,3,0,0,0,0,1,0,0,2
ABCG8,0,1,0,0,1,1,0,0,0,0,0,0
ABHD6,815,1411.99,1612,55,968.51,1566.74,1608.95,47,1882,1240.05,856,43
ABHEB,99.15,198,319,89,57,126,128,118,113,79.64,109,64
ABI2,773,1101.05,375,445.93,1118.82,1468,487,419,1602.85,1257,276,403
ABI3,9,2,12,6,6,5,20,4,7,10,11,1
ACADL,1347.01,2122,2269.88,1403,1356,1972,2181.79,1321.05,1958,1674.58,1475.46,1294
ACD11,6,9,9,9,4,11,6,7,3,4,0,10
ACER1,0,0,0,26,1,0,0,18,0,0,0,12
ACES,1189.36,2227.98,19,11,1517.07,2035.98,28,4,2196.01,2388.25,9,5
ACH10,0,0,4,2,0,0,0,2,0,0,0,0
ACHA,15,35,15,22,11,14,3,21,26,20,7,36
ACHA2,0,12,0,0,1,0,0,0,3,4,1,1
ACHA6,1,10,0,4,4,5,0,5,3,2,0,6
ACHA7,30,138,16,175,36,27,8,155.15,33,120,8,126.22
ACHA9,0,0,1,2,0,0,3,2,1,0,1,6
ACHB,19,33,6,30,7,19,2,30,32,7,5,26
ACHD,9,18,1,2,16,10,2,2,3,14,1,0
ACM2,21,93,13,6,20,29,10,6,31.95,47,4,1
ACMSD,15.99,8,2,2,5,1,0,1,9,4,0,3
ACOC,990,2312,6564.96,2502.03,1212.79,2254,6134.77,1861,2072,2079,3696.75,1995
ACSM3,0,0,0,0,0,0,0,0,0,1,1,0
ACT,412,857,1037,1127,432,851,838,875,800,614,464,945
ACT1,0,6,0,12,0,0,0,7,0,0,0,6
ACT2,7,11.76,80.74,15,3.42,3,31.51,14,0,9,40.9,7
ACT5,192,413.01,513,471,218,382,348,472,467,284,246,373
ACTA,10,13,703.48,34,7,6,437.14,11,25,31,468,31
ACTB,21934.73,37212.86,102838.06,12579.13,25528.41,42898.43,85181.7,13124.91,46923.89,36919.71,50416.46,13063.12
ACTC,18,37,2020.03,72,23,30,1517.94,41,48,50,1352.98,88.88
ACTH,22,13,1261.04,34.25,15.23,11,543.18,23.05,43,30,1072.7,43
ACTHR,0,0,0,0,0,0,4,0,0,0,0,0
ACTL9,0,0,7,6033.35,1,0,6,6666.01,1,1,9,3587.53
ACTM,13,37,1261,74,22,56,554.03,36,53,53,1008,65
ACTN2,2055.95,4356.99,7310.89,3442.01,3058,5381.1,7438,3989.33,6025.95,3860.46,4189,3302
ACTN4,36.08,70.01,90,43,32,54,83,44,50,46,57,42
ACTS,4,5,118,9,1,4,78,7,3,6,69,5
ACVR1,770.34,1469,3408.92,399,985,1570,3025,281,1475,1249.97,1758.15,295.1
ACYP2,682,1222,420,374,731,957.02,458,269.04,740,632,148,251
ADA2B,124,192,224,65,193,233,215,125,241,176,99,83
ADAT3,7,16,8,6,5,9,7,9,6,11,7,4
ADCL4,0,2,0,0,0,0,0,0,0,0,0,0
ADDB,10,23,1,0,21,43,0,0,40.86,32,0,1
ADH1,4,5,59,19,7,13,68,12,4,10,44,7
ADM2,0,1,15,7,5,4,16,8,3,33,18,2
ADML,11,26,785.12,38,21,20,541,16,15,8,218,28
ADNP2,718.91,1227,2047.6,1156.51,907,1142.35,2020.93,989,1165.54,1104,979.62,1075.07
ADPRH,311,661,293.27,406.19,549.04,659.95,261,439.11,640.97,475,141,388.02
ADRM1,766.01,1308.01,1871.91,1346,858,1265,1803.61,1192.23,1404,1213.12,932,1063
ADT2,143,281,168,281.03,167,263,163,263,287,203,88,248
ADX,2,2,484.01,71,1,1,2325.13,39,1,1,445.6,41
ADXL,367,572,659,544,476,517,593.99,609,519.01,565,316.24,501.33
AEBP1,10,13,719,20,7,6,469,15,6,9,347,34
AES,1945.57,3458.41,1862.92,219,2232.41,3019.94,1319.53,183.99,3348.36,2903.81,899.04,207
AF9,177,415,701.99,1660.77,238,434,805.71,1471.05,322.02,454.96,380,1221.86
AGAL,1640,3732,5369.88,2954.33,2005.99,3598,5255,2891,3520.04,2897.04,3262.68,2357.01
AGPD1,1281,2395.11,2593,2143.12,1372.01,1868.1,2419.82,1854,1947,1915,1070,1768.7
AHNK,1,0,3.87,0,0,0,1,0,0,1,0,3
AHNK2,20,20,216.01,11,6,4,265,6,1,7,234.57,5
AIF1L,282.14,645.98,805.99,386,318,722,460,474,250,558,331.9,487
AIG1,723,1275.1,342,100,892.98,1394.99,314,157,1501.01,909.63,131,74
AIMP2,852,1503.88,2324.4,2863.32,1081.8,1506.69,2045.03,2430.27,1591.81,1241,1112.69,2201.95
AJAP1,29,97.25,4,7,67,101,12,15,117,52,1,10
AK1BF,0,1,31,34,0,0,17,1,0,0,3,33
AK1D1,16,43,5469.29,146,17,49,5168.53,67,98,15,4066,119
AKAP1,814.02,1676.91,18256.3,4986.2,1051.99,1880.75,19170.14,3679.36,1864.24,1316.07,9086.75,2862.04
AKAP5,655,2792,2964.13,276,1028.61,3459,2252.96,225,4723.57,1843.92,1240.07,289.85
AKIR2,1352,2592.72,4154.4,13218.28,1699,2845.02,4229,10354.99,3707.01,2236.91,1969,9229.96
AKR,36.12,52,458.71,231,37,47,536,194.34,63,49,211.02,133
AKT2,70,116,247,71,105,89,207.99,60,121,116,128,77
AKTS1,46,86.01,66,26,61,69,61,29,95,96.04,37.16,39
AL14E,399.68,775.98,1646,1005.01,453,758,1500,810,718,490,771,699
AL1A1,9,12,787.27,1511.77,1,14,504.01,1749.23,10,17,651,2043
AL1L2,1746.8,2575,1352,1486.93,1839.02,2144,1317,1125.31,1845.76,1982.76,815,896.06
ALD2,2,2,168,131,32,27,446,80,22,5,194,26
ALG12,447,751.01,1366.96,324.21,397,610,1507,267.7,660,615,775,317
ALG2,323,592,2112.77,1010.97,433,647,1860,990,773,536,784,914
ALKB8,182,324,874,329.98,239.02,379,735,256.11,326,222,403,256.29
ALX1,0,0,187,4,0,3,124,0,0,2,88,2
ALX4,0,1,1,0,1,2,3,0,0,2,0,0
AMBP,0,2,50,3,0,8,102,6,1,0,37,3
AMD,2236.77,5500.85,3234.51,840.01,2614,6928.78,3578.69,835,7415.11,5174.21,1981,794
AMFR,2097.95,3958.16,4590.2,10130.88,2338.99,3713.8,4050.79,8408.48,3952.97,3237.47,2370.68,7204.17
AMOL1,304,263,608,134,422.88,275.97,589,146,261.99,440.81,326,101
AMP2,0,0,1,3,1,2,0,2,2,1,0,3
AMPB,0,1,4,0,0,0,1,0,1,1,0,0
AMPE,0,0,0,1,0,0,0,1,0,0,0,0
AMPH,3860.99,6684.63,30,338,4454.46,6817.2,128,378,8134,6004.24,52,348.26
AMPM2,4723,8819.57,12779.48,11645.43,5268.89,7806.57,10991.29,10199.64,7347.11,6514.79,5631.94,10084.28
AMPN,395,628,818,84,367.42,534,697,34,588,420,619,63
AMYP,0,1,0,2,1,1,0,3,2,4,0,3
AN13B,68,126,31,15,89,91,18,23,142.95,76,8,9
AN32B,303,556,3149.16,1218.39,350,529.1,3009.42,1078.89,540,435.63,1659,1054.69
AN33B,1,5,119,12,1,0,213.04,37,4,7,184.03,13
AN34A,120.99,267,18,13,125,238.57,13,13,311.7,248.65,10,11
ANF,0,0,13,1,0,0,40,0,0,1,5,0
ANFC,70,55,3,0,2,36,15,3,85,20,6,0
ANGL2,480,695,1389.01,181,338,481.99,1237.6,143,156,427,953,175
ANGL4,1,0,5,0,0,1,1,1,1,0,1,2
ANGL7,1,0,1,6,2,0,3,4,3,7,0,6
ANGP1,155,128,33,8,191,90,39.91,10,180,138,44,14
ANGP2,1243.5,1322,2160.43,246,1565.07,1692.63,2303.61,136,1753,1589.96,1110,170
ANK1,0,4,1,6,2,3,2,9,2,2,1,5
ANKH,1886.05,2598,4783.88,708.69,2250.93,2652.52,5166.03,552.21,2907.09,2682.48,2078,682
ANKK1,0,0,0,1,0,0,0,3,2,0,0,4
ANKR2,2,0,2,1,5,2,0,2,1,0,0,1
ANLN,1379.81,2106.97,3329,8612.04,1046.33,2390.99,3421.83,8417.03,826.72,1112,1763,8760.07
ANM1,575,1254.94,1108.96,353.98,727.13,986.82,665.26,355.97,1302.99,993.56,598.96,448.92
ANO1,2,6,13,3,5,6,4,3,14,1,8,1
