Mapping_way	Rate	Tissue
De novo	68.6	Female brain
De novo	67.8	Male brain
De novo	68.6	Ovary
De novo	67.1	Testis
De novo	74.6	Female brain
De novo	72.8	Male brain
De novo	75.3	Ovary
De novo	70.2	Testis
De novo	67.7	Female brain
De novo	68.1	Male brain
De novo	67.8	Ovary
De novo	67.3	Testis
Reference	84.94	Female brain
Reference	85.48	Male brain
Reference	85.88	Ovary
Reference	84.59	Testis
Reference	84.64	Female brain
Reference	85.56	Male brain
Reference	86.11	Ovary
Reference	84.49	Testis
Reference	85.48	Female brain
Reference	84.9	Male brain
Reference	86.07	Ovary
Reference	84.29	Testis
