Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
ENSGALG00000041922	MT	1228	1296	1	
ENSGALG00000036956	MT	1297	2272	1	
ENSGALG00000032059	MT	2273	2345	1	
ENSGALG00000043598	MT	2346	3966	1	
ENSGALG00000040296	MT	3967	4040	1	
ENSGALG00000042750	MT	4050	5024	1	ND1
ENSGALG00000035975	MT	5025	5096	1	
ENSGALG00000029193	MT	5102	5172	-1	
ENSGALG00000038760	MT	5172	5240	1	
ENSGALG00000043768	MT	5241	6279	1	MT-ND2
ENSGALG00000035685	MT	6280	6355	1	
ENSGALG00000035392	MT	6362	6430	-1	
ENSGALG00000033139	MT	6434	6506	-1	
ENSGALG00000034813	MT	6508	6573	-1	
ENSGALG00000037641	MT	6573	6643	-1	
ENSGALG00000032142	MT	6645	8192	1	MT-CO1
ENSGALG00000033462	MT	8124	8258	-1	
ENSGALG00000031197	MT	8261	8329	1	
ENSGALG00000032456	MT	8331	9014	1	COII
ENSGALG00000038283	MT	9016	9083	1	
ENSGALG00000032465	MT	9085	9249	1	ATP8
ENSGALG00000041091	MT	9240	9923	1	ATP6
ENSGALG00000035334	MT	9923	10706	1	COX3
ENSGALG00000038243	MT	10708	10775	1	
ENSGALG00000030436	MT	10776	11126	1	ND3
ENSGALG00000037369	MT	11128	11195	1	
ENSGALG00000042478	MT	11196	11492	1	ND4L
ENSGALG00000036229	MT	11486	12863	1	ND4
ENSGALG00000042903	MT	12864	12932	1	
ENSGALG00000034022	MT	12934	12998	1	
ENSGALG00000036970	MT	13000	13070	1	
ENSGALG00000029500	MT	13071	14888	1	ND5
ENSGALG00000032079	MT	14893	16035	1	CYTB
ENSGALG00000032370	MT	16039	16107	1	
ENSGALG00000042677	MT	16108	16177	-1	
ENSGALG00000037838	MT	16184	16705	-1	ND6
ENSGALG00000039249	MT	16708	16775	-1	
ENSGALG00000048947	2	148199177	148254821	1	
ENSGALG00000051701	4	79785812	79788449	-1	
ENSGALG00000047330	2	148135271	148174731	1	
ENSGALG00000051699	4	79752444	79766319	-1	
ENSGALG00000051400	1	195689244	195693062	1	
ENSGALG00000051410	6	30492420	30576214	-1	
ENSGALG00000047969	2	147995622	147999097	-1	
ENSGALG00000052082	4	79470208	79472794	-1	
ENSGALG00000049220	1	195648859	195651062	-1	
ENSGALG00000009692	4	25454977	25526708	1	SH3RF1
ENSGALG00000048477	31	1121591	1126402	1	
ENSGALG00000042494	2	147967971	147990650	-1	
ENSGALG00000051910	6	30354438	30358546	-1	
ENSGALG00000004571	15	6295803	6311046	-1	PPP1CC
ENSGALG00000009966	1	35566490	35612114	1	FRS2
ENSGALG00000034000	6	30225591	30229444	-1	
ENSGALG00000049806	6	30192760	30197507	-1	
ENSGALG00000035332	6	30163885	30166316	1	
ENSGALG00000051966	6	30048734	30052909	-1	
ENSGALG00000050290	6	30040688	30047048	-1	
ENSGALG00000050437	6	29888975	29898733	-1	
ENSGALG00000051571	6	29516943	29523041	1	
ENSGALG00000048690	6	29508831	29535379	-1	
ENSGALG00000053759	6	29057448	29075752	1	
ENSGALG00000050778	1	181186765	181189206	1	
ENSGALG00000034421	33	7267803	7281369	1	SENP1
ENSGALG00000036738	1	93596025	93648691	1	IGSF3
ENSGALG00000052160	1	181146434	181217925	-1	
ENSGALG00000047186	3	74855997	74867290	-1	
ENSGALG00000050423	1	180889081	180900781	1	
ENSGALG00000047541	3	74714279	74715797	1	
ENSGALG00000053138	1	180829200	180833278	1	
ENSGALG00000034587	3	74612334	74832219	1	
ENSGALG00000049387	3	74439915	74443893	1	
ENSGALG00000038763	1	180756469	180805958	-1	
ENSGALG00000048970	3	74349100	74358440	1	
ENSGALG00000050236	3	73852131	73858707	-1	
ENSGALG00000053022	1	180720876	180736131	1	
ENSGALG00000046901	3	73302771	73359956	-1	
ENSGALG00000047803	1	180687098	180695294	1	
ENSGALG00000050247	1	180037879	180042257	1	
ENSGALG00000053011	3	71085196	71090554	1	
ENSGALG00000050032	3	70594485	70607265	-1	
ENSGALG00000048793	3	70519894	70525123	1	
ENSGALG00000051108	3	69717062	69731420	1	
ENSGALG00000052817	3	69303469	69317392	1	
ENSGALG00000048835	8	9277285	9280252	1	
ENSGALG00000050227	8	9249668	9274974	-1	
ENSGALG00000054728	8	9109873	9116475	1	
ENSGALG00000047655	8	9084691	9103849	1	
ENSGALG00000052085	8	8607305	8616046	-1	
ENSGALG00000049277	8	8579941	8587979	-1	
ENSGALG00000042128	17	6727970	6736633	1	
ENSGALG00000054409	17	6631552	6634561	-1	
ENSGALG00000050839	17	5896716	5899578	1	
ENSGALG00000035624	17	5861537	5872810	1	
ENSGALG00000028471	3	16131319	16133848	1	CNPY3
ENSGALG00000020921	10	20487869	20499372	1	
ENSGALG00000039356	24	269631	274676	1	HEPACAM
ENSGALG00000052483	17	6843668	6852484	-1	
ENSGALG00000046322	17	6537268	6539119	1	
ENSGALG00000053940	17	6432536	6438184	1	
ENSGALG00000035908	17	6353166	6355461	1	
ENSGALG00000030592	17	5907392	5937106	1	
ENSGALG00000051963	17	5566180	5575398	1	
ENSGALG00000049630	1	121252306	121257670	1	
ENSGALG00000055062	1	121049580	121064074	-1	
ENSGALG00000049135	1	120925203	120944864	1	
ENSGALG00000046919	1	120850530	120861663	1	
ENSGALG00000001103	17	9673564	9693756	-1	PSMB7
ENSGALG00000041746	13	1560388	1571326	-1	ZMAT2
ENSGALG00000048542	W	67958	141475	-1	
ENSGALG00000054325	31	964534	966826	1	
ENSGALG00000045045	10	20485987	20487718	1	
ENSGALG00000050891	1	120179413	120196579	1	
ENSGALG00000049338	1	120086887	120088704	-1	
ENSGALG00000052409	1	120036596	120040677	1	
ENSGALG00000036226	1	119902097	119930627	1	
ENSGALG00000049410	1	119894013	119901128	1	
ENSGALG00000052618	5	41642462	41895495	1	
ENSGALG00000047714	5	43558105	43596979	1	
ENSGALG00000048052	2	132961489	132996438	1	
ENSGALG00000041794	5	43511006	43514994	-1	
ENSGALG00000051762	2	132894803	132901102	-1	
ENSGALG00000050003	2	132465797	132468904	-1	
ENSGALG00000051067	2	132404552	132410118	1	
ENSGALG00000054555	2	132369864	132391852	1	
ENSGALG00000052841	2	132219873	132222528	1	
ENSGALG00000050936	5	43019549	43029099	-1	
ENSGALG00000040945	4	77332619	77354240	-1	
ENSGALG00000050106	5	42991112	43002389	-1	
ENSGALG00000054883	4	77297155	77319770	-1	
ENSGALG00000049797	2	8278817	8298815	1	
ENSGALG00000050867	5	42974274	42978250	1	
ENSGALG00000048977	4	77167376	77193801	-1	
ENSGALG00000054510	5	42957017	42973770	-1	
ENSGALG00000052843	2	9801339	9810402	1	
ENSGALG00000053524	2	9799762	9858013	-1	
ENSGALG00000047430	4	77046669	77049173	1	
ENSGALG00000052905	5	42792057	42934679	-1	
ENSGALG00000038561	4	77044422	77139060	1	
ENSGALG00000047842	4	76888441	76901092	1	
ENSGALG00000047041	5	42689518	42692187	-1	
ENSGALG00000051421	4	76804885	76827365	-1	
ENSGALG00000036909	8	23047528	23885562	-1	BEND5
ENSGALG00000045608	22	3710877	3715597	1	
ENSGALG00000048545	2	9791488	9799294	1	
ENSGALG00000046945	5	42617357	42635043	-1	
ENSGALG00000050321	2	9673091	9680501	1	
ENSGALG00000050410	5	42551454	42564554	-1	
ENSGALG00000049129	2	9584152	9588196	1	
ENSGALG00000048112	4	76419744	76435379	1	
ENSGALG00000055031	5	42505761	42516963	-1	
ENSGALG00000032384	4	76352550	76363425	-1	
ENSGALG00000051343	2	9204838	9208326	1	
ENSGALG00000035807	5	42320487	42342961	-1	
ENSGALG00000052184	2	8865945	8874629	-1	
ENSGALG00000052764	4	75679677	75692984	-1	
ENSGALG00000047307	4	75666966	75671449	-1	
ENSGALG00000054693	2	8845961	8858768	1	
ENSGALG00000049924	2	8827207	8831289	1	
ENSGALG00000047093	4	75570374	75575364	-1	
ENSGALG00000052613	2	8808621	8813288	-1	
ENSGALG00000047674	2	8700614	8703763	-1	
ENSGALG00000047183	2	8478056	8479589	-1	
ENSGALG00000052722	2	8461973	8477169	-1	
ENSGALG00000053646	2	8331477	8363752	-1	
