Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000000003	PANX2	pannexin 2 [Source:NCBI gene;Acc:426934]	1	20328226	20347898	1	protein_coding	0.720722229009725	1.75803986485132	5.65268859482082	0.0174286306630223	0.0304980474273179
ENSGALG00000000011	C10orf88	chromosome 10 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:25822]	6	32362856	32366096	-1	protein_coding	0.500290430988275	5.02644691465747	29.864969703597	4.63206608625698e-08	1.60570592532012e-07
ENSGALG00000000048		V-type proton ATPase catalytic subunit A-like [Source:NCBI gene;Acc:776719]	25	482603	488101	1	protein_coding	-3.67718011159752	-0.524006575817189	8.1076118671822	0.00440797611092208	0.00860960039134947
ENSGALG00000000055	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 [Source:NCBI gene;Acc:425210]	4	60121988	60126244	-1	protein_coding	-0.115746340857854	6.37903263131606	4.07580892954547	0.0435014320677971	0.0694973330923704
ENSGALG00000000067	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) [Source:NCBI gene;Acc:425255]	4	89868567	89871730	-1	protein_coding	0.157909002167877	3.98235429742586	1.44629816167532	0.22912287383208	0.297087924697506
ENSGALG00000000071		DNA damage induced apoptosis suppressor [Source:NCBI gene;Acc:101750305]	1	190327368	190335382	1	protein_coding	-0.470331819624516	2.29268383053667	3.67637123481632	0.0551888399285632	0.0853853484513681
ENSGALG00000000081	IL4I1	interleukin 4 induced 1 [Source:NCBI gene;Acc:417039]	16	2367597	2478250	1	protein_coding	3.19275878363923	-0.661506664784174	5.68727827728519	0.0170883382131629	0.0299638954148967
ENSGALG00000000086	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast) [Source:NCBI gene;Acc:421147]	26	1113674	1120743	-1	protein_coding	0.0423483733642855	7.42385368580372	1.09518982826045	0.295324164689571	0.359744416119884
ENSGALG00000000091	INTS4	integrator complex subunit 4 [Source:NCBI gene;Acc:419028]	1	194331748	194363395	1	protein_coding	-0.207420774895869	0.923453157059361	0.236631118262805	0.626649957534704	0.68369172897461
ENSGALG00000000094	ADIPOR1	adiponectin receptor 1 [Source:NCBI gene;Acc:421148]	26	1106026	1112697	1	protein_coding	0.594999558752585	5.64874490041933	64.5566578607466	9.37960636894042e-16	5.21954683582257e-15
ENSGALG00000000102	UBE2T	ubiquitin conjugating enzyme E2 T [Source:NCBI gene;Acc:421149]	26	1099146	1102387	1	protein_coding	0.4598708377561	6.19844738540429	56.5280239825682	5.54031251261396e-14	2.80520875695574e-13
ENSGALG00000000106	LRIF1	ligand dependent nuclear receptor interacting factor 1 [Source:NCBI gene;Acc:421150]	26	1079126	1090634	-1	protein_coding	0.135368892078621	3.49230346177468	0.749418700602721	0.386660336020589	0.452473130432677
ENSGALG00000000109	AFMID	arylformamidase [Source:NCBI gene;Acc:769005]	18	9856717	9860064	-1	protein_coding	0.149159276402893	3.84629343089901	1.1717220025245	0.27904769769955	0.343338855127729
ENSGALG00000000112	PLP1	proteolipid protein 1 [Source:NCBI gene;Acc:396214]	4	1997678	2003292	-1	protein_coding	-1.39467236888183	-0.176082870712195	2.93122065961236	0.0868817794656364	0.128197202095276
ENSGALG00000000115	HEP21	hen egg protein 21 kDa [Source:NCBI gene;Acc:395192]	16	2492672	2494263	-1	protein_coding	1.1809887102055	-0.45987266258854	1.43614052935045	0.230764909161981	0.297087924697506
ENSGALG00000000122	GNB2L1	receptor for activated C kinase 1 [Source:NCBI gene;Acc:417044]	16	2525327	2529817	-1	protein_coding	0.00709551681057557	11.1103337941644	0.36631178832263	0.545021555402708	0.608839102460305
ENSGALG00000000129	TCF25	transcription factor 25 [Source:NCBI gene;Acc:425450]	11	18820548	18838454	1	protein_coding	-0.0643596036255844	6.57784174626627	1.44244011629557	0.229744884425488	0.297087924697506
