geneSymbol	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene type	logFC	logCPM	LR	PValue	FDR
ENSCJPG00005000042		1	2704	5103		protein_coding	0.51458199954296	1.82448558621375	0.736343443898325	0.390834727047428	0.999984147965351
ENSCJPG00005000046	unc-50 inner nuclear membrane RNA binding protein [Source:NCBI gene;Acc:107307297]	1	119229433	119232283	UNC50	protein_coding	0.256905139975443	4.70158563015175	0.291834686720662	0.589047211721039	0.999984147965351
ENSCJPG00005000066		1	9060	22306		pseudogene	0.0924741073740725	4.29523027653873	0.0346470276675035	0.852337232523394	0.999984147965351
ENSCJPG00005000083	stabilin 2 [Source:NCBI gene;Acc:107316311]	1	57335143	57408226	STAB2	protein_coding	-0.381627142835021	5.81854404559165	0.511443423472883	0.474514675847313	0.999984147965351
ENSCJPG00005000086	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:NCBI gene;Acc:107307274]	1	119237822	119299768	MGAT4A	protein_coding	0.210555538182072	3.89737017078684	0.0833699618692449	0.772781444504439	0.999984147965351
ENSCJPG00005000108	KIAA1211 like [Source:NCBI gene;Acc:107307220]	1	119312458	119336053	CRACDL	protein_coding	-0.962081626722915	1.57576302180487	1.84406006522516	0.174475827365235	0.999984147965351
ENSCJPG00005000126	testis specific 10 [Source:NCBI gene;Acc:107307206]	1	119368550	119390690	TSGA10	protein_coding	-0.727452850435435	1.70284705563265	0.617186610900482	0.432094684252215	0.999984147965351
ENSCJPG00005000139	lipoyltransferase 1 [Source:NCBI gene;Acc:107307096]	1	119392370	119393491	LIPT1	protein_coding	0.200675638424686	3.88191288083927	0.176809038985347	0.674129965848402	0.999984147965351
ENSCJPG00005000145	microtubule interacting and trafficking domain containing 1 [Source:NCBI gene;Acc:107307107]	1	119397922	119400681	MITD1	protein_coding	0.146968490726074	3.76442320480867	0.103211072114391	0.748009728727089	0.999984147965351
ENSCJPG00005000152		1	119400499	119405951		protein_coding	0.278213353538403	4.14819468049151	0.343535214376985	0.557795702525148	0.999984147965351
ENSCJPG00005000160	mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]	1	119401081	119402413	MRPL30	protein_coding	0.118739153712968	3.41204860950026	0.0500091536951288	0.823047346417207	0.999984147965351
ENSCJPG00005000168	dehydrogenase/reductase SDR family member 4-like [Source:NCBI gene;Acc:107305688]	1	23213	26619		protein_coding	0.083774084031057	5.80072017661122	0.0296555473639728	0.863274118082446	0.999984147965351
ENSCJPG00005000177	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	1	28898	29088	U2	snRNA	-1.31674284232165	-3.08081839090858	1.36422412658372	0.242806743031929	0.999984147965351
ENSCJPG00005000181	lysozyme g-like [Source:NCBI gene;Acc:107307159]	1	119406431	119410880		protein_coding	-0.260116912577326	2.65091575980331	0.213139573659078	0.64431768891435	0.999984147965351
ENSCJPG00005000202		1	35333	39094		protein_coding	-0.100436519786416	0.956593841261913	0.0219774853258095	0.882147009660121	0.999984147965351
ENSCJPG00005000211		1	40547	43207		protein_coding	-0.0497542362293652	-0.794388398663076	0.00255985901997402	0.959648207811302	0.999984147965351
ENSCJPG00005000221	guanylyl cyclase-activating protein 1-like [Source:NCBI gene;Acc:107317046]	1	52390	56047		protein_coding	1.3311232026434	-2.85258691086124	0.899643025151879	0.342877447250314	0.999984147965351
ENSCJPG00005000232	golgin B1 [Source:NCBI gene;Acc:107315151]	1	60565	92413	GOLGB1	protein_coding	-0.294088022390015	7.40272375942609	0.283135561103336	0.594653385167367	0.999984147965351
ENSCJPG00005000240	hematopoietic cell-specific Lyn substrate 1 [Source:NCBI gene;Acc:107316499]	1	94667	105530	HCLS1	protein_coding	-0.0848145180959896	1.65897906014929	0.0197791580906854	0.888155615011437	0.999984147965351
ENSCJPG00005000246		1	106435	125888		protein_coding	-0.678217025730485	-2.55113180770375	0.339651516287799	0.560030442403841	0.999984147965351
ENSCJPG00005000256	NME/NM23 nucleoside diphosphate kinase 6 [Source:NCBI gene;Acc:107319356]	1	135417	138222	NME6	protein_coding	-0.118698221049376	3.10201566421015	0.0521469143776621	0.819368723961844	0.999984147965351
ENSCJPG00005000259	RAB, member of RAS oncogene family like 2B [Source:NCBI gene;Acc:107318741]	1	138243	142283		protein_coding	0.126946241147899	4.08231588251093	0.0669745164799309	0.795793916133483	0.999984147965351
ENSCJPG00005000266	acrosin-like [Source:NCBI gene;Acc:107318185]	1	143796	145849		protein_coding	0.289355979328815	-1.7089066651468	0.0914399297117354	0.762354502736257	0.999984147965351
ENSCJPG00005000274	arylsulfatase A [Source:NCBI gene;Acc:107317603]	1	147842	153389	ARSA	protein_coding	0.432678032533562	5.8035909067439	0.933122378716817	0.334052889117751	0.999984147965351
ENSCJPG00005000277	acrosin [Source:NCBI gene;Acc:107319775]	1	154522	156005		protein_coding	-0.368822684235259	-1.97157117504062	0.169128481342372	0.680887518081943	0.999984147965351
ENSCJPG00005000295		1	298878	421553		protein_coding	0.345998008539882	4.8645839324688	0.412283136702946	0.520812944239675	0.999984147965351
ENSCJPG00005000305		1	313422	316668		protein_coding	1.80391993563943	-4.14339664435229	1.19818144717275	0.273685451571077	0.999984147965351
ENSCJPG00005000310		1	423409	457660		protein_coding	0.32918044777866	4.40935128229733	0.404753101198839	0.524644710148367	0.999984147965351
ENSCJPG00005000311		1	468510	472293		protein_coding	0.659735091876101	4.75123260892584	1.91631236359379	0.166263753713498	0.999984147965351
ENSCJPG00005000316		1	472314	476054		protein_coding	0.577327903653722	6.22977030961007	1.07334478170581	0.300191159192507	0.999984147965351
ENSCJPG00005000318		1	503763	505805		lncRNA	1.24179708007353	-2.28058532832809	0.960621962001829	0.327030224651132	0.999984147965351
ENSCJPG00005000323	GRIP and coiled-coil domain containing 1 [Source:NCBI gene;Acc:107306301]	1	518428	522065	GCC1	protein_coding	0.457889682671394	5.5308240354313	0.763178802002443	0.382335551881145	0.999984147965351
ENSCJPG00005000338	DENN domain containing 6B [Source:NCBI gene;Acc:107307036]	1	523932	549822	DENND6B	protein_coding	0.229839544990078	5.75094847645827	0.297232571869358	0.585622573639703	0.999984147965351
ENSCJPG00005000356	protein phosphatase 6 regulatory subunit 2 [Source:NCBI gene;Acc:107307955]	1	570574	622246	PPP6R2	protein_coding	-0.0339158102087695	6.68806265377832	0.00715312981589022	0.932598338722581	0.999984147965351
ENSCJPG00005000380	SET binding factor 1 [Source:NCBI gene;Acc:107308148]	1	631630	681094	SBF1	protein_coding	0.369401270077483	8.2709093957488	0.539472184164737	0.462651552775534	0.999984147965351
ENSCJPG00005000381	lysozyme g [Source:NCBI gene;Acc:107307139]	1	119412717	119414802		protein_coding	-0.31207077155262	2.08523241003371	0.216994091289127	0.641339876985405	0.999984147965351
ENSCJPG00005000386	lysozyme g-like [Source:NCBI gene;Acc:107307152]	1	119419538	119421555		protein_coding	0.607008488428798	-1.70577877469018	0.39917421596268	0.527516034501941	0.999984147965351
ENSCJPG00005000391	thioredoxin domain containing 9 [Source:NCBI gene;Acc:107307127]	1	119429902	119436971	TXNDC9	protein_coding	-0.239363187307782	5.38978448507619	0.323026923532399	0.569794227982047	0.999984147965351
ENSCJPG00005000426	eukaryotic translation initiation factor 5B [Source:NCBI gene;Acc:107307887]	1	119445648	119464130		protein_coding	-0.197621607289458	8.34275172006364	0.167439936217647	0.682397111992951	0.999984147965351
ENSCJPG00005000440		1	683678	689618		protein_coding	0.892414107933536	-0.7828250089957	1.00780192374314	0.315430006504746	0.999984147965351
ENSCJPG00005000444	myo-inositol oxygenase [Source:NCBI gene;Acc:107309062]	1	690839	693538	MIOX	protein_coding	-0.673204163418899	2.03056847456172	0.679452057083722	0.409775470146028	0.999984147965351
ENSCJPG00005000449	lipase maturation factor 2 [Source:NCBI gene;Acc:107308717]	1	694174	700303	LMF2	protein_coding	0.727611364409755	8.41217343576143	1.69999442978883	0.192288705575221	0.999984147965351
ENSCJPG00005000460	non-SMC condensin II complex subunit H2 [Source:HGNC Symbol;Acc:HGNC:25071]	1	701660	707919	NCAPH2	protein_coding	0.470755636323922	6.41613898695534	1.06901273179318	0.301168552803367	0.999984147965351
ENSCJPG00005000464	protein SCO2 homolog, mitochondrial [Source:NCBI gene;Acc:107309199]	1	708535	709278	SCO2	protein_coding	0.522982575097583	2.55618175588703	0.669962347258767	0.413064734799319	0.999984147965351
ENSCJPG00005000471	interferon regulatory factor 5 [Source:NCBI gene;Acc:107309479]	1	712535	718343	IRF5	protein_coding	0.0926573456405923	1.47261179789293	0.0203644906640876	0.886523794108793	0.999984147965351
ENSCJPG00005000477	transportin 3 [Source:NCBI gene;Acc:107309307]	1	720839	736871	TNPO3	protein_coding	0.593117884983658	7.73931336372078	1.03449604940118	0.309105009290271	0.999984147965351
ENSCJPG00005000486	smoothened, frizzled class receptor [Source:NCBI gene;Acc:107309414]	1	748191	757014	SMO	protein_coding	0.572743879698351	8.10776879861209	1.32038441687575	0.2505230715362	0.999984147965351
ENSCJPG00005000499	adenosylhomocysteinase like 2 [Source:NCBI gene;Acc:107309655]	1	758140	793716	AHCYL2	protein_coding	0.0919856293747587	5.74802443690621	0.0438094566946887	0.834208519631901	0.999984147965351
ENSCJPG00005000517		1	767425	771296		protein_coding	-1.57260701030102	-3.78972208658274	1.03937467051939	0.307966951598634	0.999984147965351
ENSCJPG00005000519	striatin interacting protein 2 [Source:NCBI gene;Acc:107309953]	1	796335	809275	STRIP2	protein_coding	-0.625159123380994	4.80076081277839	1.66704735747403	0.196654483749208	0.999984147965351
ENSCJPG00005000523	small lysine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:43561]	1	817599	817817	SMKR1	protein_coding	0.111152509773259	1.42852906753949	0.0307812525938447	0.860729302025893	0.999984147965351
ENSCJPG00005000527	nuclear respiratory factor 1 [Source:NCBI gene;Acc:107310257]	1	838607	870222	NRF1	protein_coding	0.0101851211293257	4.50948268299954	0.000585022958695447	0.980703249895211	0.999984147965351
ENSCJPG00005000542	ubiquitin conjugating enzyme E2 H [Source:NCBI gene;Acc:107310504]	1	887241	917379	UBE2H	protein_coding	-0.0667809339614032	6.64560170359536	0.0223180607649738	0.881244083391015	0.999984147965351
ENSCJPG00005000551	zinc finger C3HC-type containing 1 [Source:NCBI gene;Acc:107310433]	1	926300	934675	ZC3HC1	protein_coding	0.830652449491533	5.46938474703238	1.99261239018611	0.158067998838631	0.999984147965351
ENSCJPG00005000554	kelch domain containing 10 [Source:NCBI gene;Acc:107310867]	1	935030	945694	KLHDC10	protein_coding	0.307979529699578	4.65298926261648	0.554292463726419	0.456569080669306	0.999984147965351
ENSCJPG00005000558	transmembrane protein 209 [Source:NCBI gene;Acc:107310928]	1	956643	965931	TMEM209	protein_coding	0.159114518991755	7.23752790378881	0.146755613628073	0.701655293027675	0.999984147965351
ENSCJPG00005000563	carboxypeptidase A2-like [Source:NCBI gene;Acc:107311052]	1	970656	978213	CPA2	protein_coding	0.784554761447744	0.914401137943599	0.939803007279145	0.332328508291001	0.999984147965351
ENSCJPG00005000571	carboxypeptidase A1-like [Source:NCBI gene;Acc:107310992]	1	980633	984263		protein_coding	-0.22403087362286	-1.79815969577346	0.0297577857697657	0.863040962071069	0.999984147965351
ENSCJPG00005000583	carboxypeptidase A1-like [Source:NCBI gene;Acc:107311154]	1	985212	988202	CPA1	protein_coding	0.270714358124319	-1.93701169407632	0.0428926083253582	0.835927617306507	0.999984147965351
ENSCJPG00005000597	centrosomal protein 41 [Source:NCBI gene;Acc:107324602]	1	989703	996342	CEP41	protein_coding	0.118603240344529	3.8188661418348	0.0662324282374658	0.796903489906144	0.999984147965351
ENSCJPG00005000602	mesoderm specific transcript [Source:NCBI gene;Acc:107311588]	1	998769	1002110	MEST	protein_coding	-0.0400146117918403	3.51167035884107	0.00682367087114244	0.93416521707187	0.999984147965351
ENSCJPG00005000679	coatomer protein complex subunit gamma 2 [Source:NCBI gene;Acc:107311793]	1	999567	1018678	COPG2	protein_coding	0.179584629056765	7.54193406893288	0.215170709006401	0.642744492698488	0.999984147965351
ENSCJPG00005000771		1	36058466	36078011		lncRNA	-0.145131079720024	-3.40952336062888	0.0139136300791192	0.906102480544087	0.999984147965351
ENSCJPG00005000774		1	80643167	80801073		lncRNA	-0.969626710587306	-1.83677252321844	1.14043020885619	0.285561440582885	0.999984147965351
ENSCJPG00005000776	ribosomal protein S16 [Source:NCBI gene;Acc:107311066]	1	36104524	36107920	RPS16	protein_coding	0.362131928707478	9.42634771435435	0.583053809441708	0.445117808451295	0.999984147965351
ENSCJPG00005000777		1	80726359	80741963		lncRNA	-1.17455682594827	-3.87724542358099	0.527208526781028	0.467782822843594	0.999984147965351
ENSCJPG00005000778		1	80747169	80760141		lncRNA	-2.51045742086638	-4.05102400981049	2.05708701309854	0.151499545828028	0.999984147965351
ENSCJPG00005000779		1	80859973	80862457		lncRNA	-0.539110201679507	-3.44658358416095	0.136642988453651	0.711641410283412	0.999984147965351
ENSCJPG00005000782		1	80875987	81074163		lncRNA	1.72909065293513	-1.03643627219529	2.83393835496428	0.0922917769125121	0.999984147965351
ENSCJPG00005000784		1	81145622	81247931		lncRNA	-0.803427981212833	-1.33229492386186	0.213499193381741	0.644038488063978	0.999984147965351
ENSCJPG00005000787	ribosomal protein L21 [Source:NCBI gene;Acc:107308278]	1	157683639	157687545	RPL21	protein_coding	0.162275657893496	9.9617801890413	0.114244877579608	0.735362209479245	0.999984147965351
ENSCJPG00005000789	small nucleolar RNA, H/ACA box 27 [Source:HGNC Symbol;Acc:HGNC:32617]	1	157685684	157685816		snoRNA	-0.329015147979483	0.0193938521874983	0.124531278719184	0.724170985955588	0.999984147965351
ENSCJPG00005000790		1	81374372	81375628		lncRNA	-0.381186640056067	-2.84092352809378	0.0857338234431335	0.769672439208663	0.999984147965351
ENSCJPG00005000793		1	81376358	81381668		lncRNA	1.99875650933171	-4.11772692453371	1.32499260285074	0.249697996364002	0.999984147965351
ENSCJPG00005000795	small nucleolar RNA, C/D box 102 [Source:HGNC Symbol;Acc:HGNC:10099]	1	157686205	157686280	SNORD102	snoRNA	-0.246127771735719	1.03161710169665	0.133170855865754	0.715166778115358	0.999984147965351
ENSCJPG00005000797	ubiquitin specific peptidase 12 [Source:NCBI gene;Acc:107308276]	1	157707531	157724942	USP12	protein_coding	-0.201203046226253	2.05603768621652	0.105794288794317	0.74498404437273	0.999984147965351
ENSCJPG00005000803		1	157747802	157748806		lncRNA	3.36381361272323	-3.86969432655239	3.5437045879367	0.0597718227402333	0.999984147965351
ENSCJPG00005000805		1	157755895	157766777		lncRNA	0.750812700108728	3.49081123148965	1.58606734237995	0.20788890190605	0.999984147965351
