Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
ENSGALG00000041922			MT	1228	1296	1	Mt_tRNA
ENSGALG00000036956			MT	1297	2272	1	Mt_rRNA
ENSGALG00000032059			MT	2273	2345	1	Mt_tRNA
ENSGALG00000043598			MT	2346	3966	1	Mt_rRNA
ENSGALG00000040296			MT	3967	4040	1	Mt_tRNA
ENSGALG00000042750	ND1	NADH dehydrogenase subunit 1 [Source:NCBI gene;Acc:39116926]	MT	4050	5024	1	protein_coding
ENSGALG00000035975			MT	5025	5096	1	Mt_tRNA
ENSGALG00000029193			MT	5102	5172	-1	Mt_tRNA
ENSGALG00000038760			MT	5172	5240	1	Mt_tRNA
ENSGALG00000043768	MT-ND2	NADH-ubiquinone oxidoreductase chain 2  [Source:UniProtKB/Swiss-Prot;Acc:P18937]	MT	5241	6279	1	protein_coding
ENSGALG00000035685			MT	6280	6355	1	Mt_tRNA
ENSGALG00000035392			MT	6362	6430	-1	Mt_tRNA
ENSGALG00000033139			MT	6434	6506	-1	Mt_tRNA
ENSGALG00000034813			MT	6508	6573	-1	Mt_tRNA
ENSGALG00000037641			MT	6573	6643	-1	Mt_tRNA
ENSGALG00000032142	MT-CO1	Cytochrome c oxidase subunit 1  [Source:UniProtKB/Swiss-Prot;Acc:P18943]	MT	6645	8192	1	protein_coding
ENSGALG00000033462			MT	8124	8258	-1	Mt_tRNA
ENSGALG00000031197			MT	8261	8329	1	Mt_tRNA
ENSGALG00000032456	COII	Cytochrome c oxidase subunit 2  [Source:UniProtKB/Swiss-Prot;Acc:P18944]	MT	8331	9014	1	protein_coding
ENSGALG00000038283			MT	9016	9083	1	Mt_tRNA
ENSGALG00000032465	ATP8	ATP synthase F0 subunit 8 [Source:NCBI gene;Acc:39116937]	MT	9085	9249	1	protein_coding
ENSGALG00000041091	ATP6	ATP synthase F0 subunit 6 [Source:NCBI gene;Acc:39116912]	MT	9240	9923	1	protein_coding
ENSGALG00000035334	COX3	cytochrome c oxidase subunit III [Source:NCBI gene;Acc:39116913]	MT	9923	10706	1	protein_coding
ENSGALG00000038243			MT	10708	10775	1	Mt_tRNA
ENSGALG00000030436	ND3	NADH dehydrogenase subunit 3 [Source:NCBI gene;Acc:39116938]	MT	10776	11126	1	protein_coding
ENSGALG00000037369			MT	11128	11195	1	Mt_tRNA
ENSGALG00000042478	ND4L	NADH dehydrogenase subunit 4L [Source:NCBI gene;Acc:39116939]	MT	11196	11492	1	protein_coding
ENSGALG00000036229	ND4	NADH dehydrogenase subunit 4 [Source:NCBI gene;Acc:39116916]	MT	11486	12863	1	protein_coding
ENSGALG00000042903			MT	12864	12932	1	Mt_tRNA
ENSGALG00000034022			MT	12934	12998	1	Mt_tRNA
ENSGALG00000036970			MT	13000	13070	1	Mt_tRNA
ENSGALG00000029500	ND5	NADH-ubiquinone oxidoreductase chain 5  [Source:UniProtKB/Swiss-Prot;Acc:P18940]	MT	13071	14888	1	protein_coding
ENSGALG00000032079	CYTB	cytochrome b [Source:NCBI gene;Acc:39116918]	MT	14893	16035	1	protein_coding
ENSGALG00000032370			MT	16039	16107	1	Mt_tRNA
ENSGALG00000042677			MT	16108	16177	-1	Mt_tRNA
ENSGALG00000037838	ND6	NADH dehydrogenase subunit 6 [Source:NCBI gene;Acc:39116944]	MT	16184	16705	-1	protein_coding
ENSGALG00000039249			MT	16708	16775	-1	Mt_tRNA
ENSGALG00000048947			2	148199177	148254821	1	lncRNA
ENSGALG00000051701			4	79785812	79788449	-1	lncRNA
ENSGALG00000047330			2	148135271	148174731	1	lncRNA
ENSGALG00000051699			4	79752444	79766319	-1	lncRNA
ENSGALG00000051400			1	195689244	195693062	1	lncRNA
ENSGALG00000051410			6	30492420	30576214	-1	lncRNA
ENSGALG00000047969			2	147995622	147999097	-1	lncRNA
ENSGALG00000052082			4	79470208	79472794	-1	lncRNA
ENSGALG00000049220			1	195648859	195651062	-1	lncRNA
ENSGALG00000009692	SH3RF1	SH3 domain containing ring finger 1 [Source:NCBI gene;Acc:422434]	4	25454977	25526708	1	protein_coding
ENSGALG00000048477			31	1121591	1126402	1	protein_coding
ENSGALG00000042494			2	147967971	147990650	-1	lncRNA
ENSGALG00000051910			6	30354438	30358546	-1	lncRNA
ENSGALG00000004571	PPP1CC	protein phosphatase 1 catalytic subunit gamma [Source:NCBI gene;Acc:416872]	15	6295803	6311046	-1	protein_coding
ENSGALG00000009966	FRS2	fibroblast growth factor receptor substrate 2 [Source:NCBI gene;Acc:417845]	1	35566490	35612114	1	protein_coding
