geneSymbol	Chromosome	GeneStart	GeneEnd	GeneType	GeneName	GeneDescription	logFC_brain	logCPM_brain	Pvalue_brain	adjP_brain	logFC_gonad	logCPM_gonad	Pvalue_gonad	adjP_gonad
ENSCJPG00005000042	1	2704	5103	protein_coding			0.077270857	0.184361895	0.924053794	0.999994659	5.970948743	3.654697582	4.99E-28	4.38E-27
ENSCJPG00005000066	1	9060	22306	pseudogene			-0.131867903	6.576297404	0.608300766	0.999994659	0.570191986	3.025104957	0.156914437	0.196260452
ENSCJPG00005000168	1	23213	26619	protein_coding		dehydrogenase/reductase SDR family member 4-like [Source:NCBI gene;Acc:107305688]	-0.252887108	4.208310273	0.590914652	0.999994659	-0.959297614	3.670767289	0.001219818	0.002168867
ENSCJPG00005000177	1	28898	29088	snRNA	U2	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	0.17072261	-1.937838233	0.883307225	0.999994659	-2.15059682	-2.216243281	0.116457786	0.149471524
ENSCJPG00005000202	1	35333	39094	protein_coding			0.817096764	-0.294678187	0.423156561	0.999994659	-1.616795808	0.599932092	0.005107194	0.008311242
ENSCJPG00005000211	1	40547	43207	protein_coding			0.555842276	0.217148788	0.459470517	0.999994659	-0.317835247	0.735943504	0.739078903	0.775591072
ENSCJPG00005000221	1	52390	56047	protein_coding		guanylyl cyclase-activating protein 1-like [Source:NCBI gene;Acc:107317046]	0.373622479	-1.671704602	0.681907504	0.999994659	3.372221305	-2.623758345	0.032064204	0.045771312
ENSCJPG00005000232	1	60565	92413	protein_coding	GOLGB1	golgin B1 [Source:NCBI gene;Acc:107315151]	-0.094058845	7.489363079	0.623609105	0.999994659	-2.494609287	8.15905988	2.23E-41	3.20E-40
ENSCJPG00005000240	1	94667	105530	protein_coding	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:NCBI gene;Acc:107316499]	0.158555624	2.243743851	0.712313411	0.999994659	-2.711834296	2.466199369	1.87E-06	4.57E-06
ENSCJPG00005000246	1	106435	125888	protein_coding			-0.318980567	-0.836231627	0.622568	0.999994659	-2.502150789	-0.526468762	0.005575513	0.009022193
ENSCJPG00005000256	1	135417	138222	protein_coding	NME6	NME/NM23 nucleoside diphosphate kinase 6 [Source:NCBI gene;Acc:107319356]	0.081359516	2.687659488	0.841349705	0.999994659	-0.197454654	1.914049714	0.634804245	0.679064983
ENSCJPG00005000259	1	138243	142283	protein_coding		"RAB, member of RAS oncogene family like 2B [Source:NCBI gene;Acc:107318741]"	0.071478507	5.784675687	0.812745651	0.999994659	0.618937989	4.839641051	0.037512613	0.052861931
ENSCJPG00005000266	1	143796	145849	protein_coding		acrosin-like [Source:NCBI gene;Acc:107318185]	0.643804818	-1.190266251	0.427261691	0.999994659	11.66724733	7.823663232	2.18E-187	3.50E-185
ENSCJPG00005000274	1	147842	153389	protein_coding	ARSA	arylsulfatase A [Source:NCBI gene;Acc:107317603]	-0.069714286	4.956771288	0.872521767	0.999994659	-1.13062081	3.907289659	4.35E-05	9.28E-05
ENSCJPG00005000277	1	154522	156005	protein_coding		acrosin [Source:NCBI gene;Acc:107319775]	0.637737883	-2.146155799	0.585042713	0.999994659	11.94623485	7.373385727	7.96E-231	2.28E-228
ENSCJPG00005000295	1	298878	421553	protein_coding			-0.219795726	4.363397468	0.41512139	0.999994659	1.521766601	3.646664677	2.20E-07	5.89E-07
ENSCJPG00005000305	1	313422	316668	protein_coding			0.39617242	-1.562316568	0.714682563	0.999994659	2.125786841	-2.04681195	0.058901398	0.080323507
ENSCJPG00005000310	1	423409	457660	protein_coding			-0.051289441	4.876370448	0.854615023	0.999994659	1.159378352	2.902377303	0.001009972	0.00181506
ENSCJPG00005000311	1	468510	472293	protein_coding			0.208387182	6.17799949	0.447373531	0.999994659	-0.85473471	2.765020643	0.009282437	0.014503053
ENSCJPG00005000316	1	472314	476054	protein_coding			0.10374891	7.350060277	0.7215834	0.999994659	-0.686732444	3.979494646	0.022101628	0.03237934
ENSCJPG00005000318	1	503763	505805	lncRNA			0.698173381	1.307513967	0.325099663	0.999994659	4.276275251	-1.42150406	0.00013818	0.000277544
ENSCJPG00005000323	1	518428	522065	protein_coding	GCC1	GRIP and coiled-coil domain containing 1 [Source:NCBI gene;Acc:107306301]	-0.009348969	4.538345409	0.967384495	0.999994659	0.317845952	5.168414285	0.132054583	0.167598686
ENSCJPG00005000338	1	523932	549822	protein_coding	DENND6B	DENN domain containing 6B [Source:NCBI gene;Acc:107307036]	0.097627795	6.773172293	0.620544024	0.999994659	2.40251762	6.777423856	7.71E-13	3.15E-12
ENSCJPG00005000356	1	570574	622246	protein_coding	PPP6R2	protein phosphatase 6 regulatory subunit 2 [Source:NCBI gene;Acc:107307955]	-0.047555185	6.470286391	0.808919778	0.999994659	0.879717492	6.654200525	2.04E-06	4.97E-06
ENSCJPG00005000380	1	631630	681094	protein_coding	SBF1	SET binding factor 1 [Source:NCBI gene;Acc:107308148]	0.099371813	8.252513699	0.62121955	0.999994659	0.058105098	7.271200673	0.748889778	0.784815585
ENSCJPG00005000440	1	683678	689618	protein_coding			1.783115713	0.147455504	0.224588968	0.999994659	-1.348763022	0.226173452	0.02177068	0.031918819
ENSCJPG00005000444	1	690839	693538	protein_coding	MIOX	myo-inositol oxygenase [Source:NCBI gene;Acc:107309062]	-0.5273071	-0.162961773	0.509505208	0.999994659	0.00441001	-1.389059554	0.99530769	0.996029681
ENSCJPG00005000449	1	694174	700303	protein_coding	LMF2	lipase maturation factor 2 [Source:NCBI gene;Acc:107308717]	0.054522292	5.802615514	0.777219229	0.999994659	-1.069502828	6.375093888	1.15E-07	3.16E-07
