geneSymbol	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000012550	HMOX1	heme oxygenase 1 [Source:NCBI gene;Acc:396287]	1	52103308	52109433	-1	protein_coding	-0.280553622122292	3.57670859450904	3.8267054881977	0.0504419883544658	0.152482828495505
ENSGALG00000016736	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:NCBI gene;Acc:418677]	1	131681532	131744672	1	protein_coding	-0.0893745603093804	6.80007430251373	2.85289400263836	0.0912096159268655	0.235883120801153
ENSGALG00000023576	PIM3	pim-3 oncogene [Source:NCBI gene;Acc:768655]	1	19335370	19339085	-1	protein_coding	-0.232755242380975	3.17711970405779	3.14089329550154	0.0763519795065348	0.206785937295182
ENSGALG00000015006	MAB21L3	mab-21 like 3 [Source:NCBI gene;Acc:770247]	1	81097708	81108336	-1	protein_coding	-0.111647989415904	1.18459471047115	0.28977916730453	0.590362079800867	0.780587611882199
ENSGALG00000017145	MPHOSPH8	M-phase phosphoprotein 8 [Source:NCBI gene;Acc:418957]	1	180550812	180568847	-1	protein_coding	0.0368065672307414	5.67680804778402	0.121586045998868	0.727320620681088	0.868870546204652
ENSGALG00000008554	IL17REL	interleukin 17 receptor E like [Source:NCBI gene;Acc:769256]	1	20198062	20240989	-1	protein_coding	-0.165948963031171	-1.86866161191805	0.153349929264294	0.695354383038031	0.849040967908436
ENSGALG00000015016	SLC22A15	solute carrier family 22 member 15 [Source:NCBI gene;Acc:418336]	1	81130221	81161028	-1	protein_coding	-0.203424316954532	1.35575337406693	0.369259405988515	0.543408232293343	0.745495456877971
ENSGALG00000052027		fibronectin type III domain-containing protein 9-like [Source:NCBI gene;Acc:101748456]	1	131722616	131727023	-1	protein_coding	-2.58208499089469	0.690601942526817	41.0513941783961	1.48278359713619e-10	4.25375028407186e-09
ENSGALG00000012552	TOM1	target of myb1 membrane trafficking protein [Source:NCBI gene;Acc:396049]	1	52116279	52137392	-1	protein_coding	-0.0863517408842099	4.30317360500638	0.689061205022099	0.406483883333073	0.629929564280511
ENSGALG00000016737	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2 [Source:NCBI gene;Acc:418680]	1	131746791	131757830	-1	protein_coding	0.14326285669058	6.31766185023773	3.26676071912939	0.0706970910238151	0.195318281294403
ENSGALG00000040038	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1 [Source:NCBI gene;Acc:417737]	1	20257352	20275372	-1	protein_coding	0.025339858994445	1.54828346129999	0.00458404106674948	0.946020033742657	0.98052951940934
ENSGALG00000012559	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:NCBI gene;Acc:418062]	1	52678868	52954337	1	protein_coding	0.0820535095708275	4.05144299216822	0.623313094938851	0.429818777132748	0.648226336921363
ENSGALG00000033432	NHLH2	nescient helix-loop-helix 2 [Source:NCBI gene;Acc:395578]	1	81203444	81204741	1	protein_coding	-0.0377766278046084	-2.76369650827435	1.65203008890558e-05	0.996756993327765	1
ENSGALG00000017148	CENPJ	centromere protein J [Source:NCBI gene;Acc:418960]	1	180615148	180632384	1	protein_coding	-0.10353695332722	3.89706856775321	0.747568646480318	0.38724710512184	0.613321130445664
ENSGALG00000015018	CASQ2	calsequestrin 2 [Source:NCBI gene;Acc:395198]	1	81232635	81309584	1	protein_coding	0.487673609296873	-0.169286074273695	2.25234877309845	0.133411769471819	0.308190792038223
ENSGALG00000016739	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:NCBI gene;Acc:418682]	1	131806734	131911385	1	protein_coding	-0.143334410084113	7.68181618598031	1.44909169133743	0.228673754238463	0.4402021411763
ENSGALG00000033589	SYN3	synapsin III [Source:NCBI gene;Acc:100857420]	1	53021721	53223751	1	protein_coding	-0.234397408923383	0.33340764351864	0.762578753289986	0.382522711348184	0.609423512036085
ENSGALG00000026507	FDX1	ferredoxin 1 [Source:NCBI gene;Acc:373947]	1	180901126	180917603	-1	protein_coding	0.247514956099251	5.57530545961766	8.72880892382007	0.00313221043210127	0.0169266452176022
ENSGALG00000028627	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:NCBI gene;Acc:396483]	1	53094947	53127580	-1	protein_coding	-0.197551595406739	6.80032344340817	0.798440681024687	0.371559989538259	0.598634831935003
ENSGALG00000017153	RDX	radixin [Source:NCBI gene;Acc:395511]	1	180936321	180969903	1	protein_coding	-0.115541450023277	8.32723234502684	1.01376753950437	0.314001941938387	0.540353812870015
ENSGALG00000015025	VANGL1	VANGL planar cell polarity protein 1 [Source:NCBI gene;Acc:418337]	1	81276492	81306906	-1	protein_coding	0.429239659877524	2.71817164125723	4.82281147051911	0.0280854992340738	0.0973053689574768
ENSGALG00000015038	CHD1L	chromodomain helicase DNA binding protein 1 like [Source:NCBI gene;Acc:418338]	1	81317906	81339566	-1	protein_coding	-0.164727994821198	4.15249473409196	3.01117866328713	0.0826921414495053	0.219813247520452
ENSGALG00000012569	FBXO7	F-box protein 7 [Source:NCBI gene;Acc:418063]	1	53227761	53241371	-1	protein_coding	0.180547239383641	6.6777487517509	4.44511007964168	0.0350013336100347	0.115729778003078
ENSGALG00000015059		fatty acid amide hydrolase-like [Source:NCBI gene;Acc:418339]	1	81342003	81357144	1	protein_coding	0.125953756441593	4.96200727485572	1.9864589269428	0.158711622656462	0.34873462919497
ENSGALG00000017154	ZC3H12C	zinc finger CCCH-type containing 12C [Source:NCBI gene;Acc:418963]	1	180987196	181008738	-1	protein_coding	0.0133588942503056	3.10436442683128	0.00424836683997398	0.948031085368198	0.981572820554267
ENSGALG00000017155	C11orf87	chromosome 1 open reading frame, human C11orf87 [Source:NCBI gene;Acc:418964]	1	181226287	181226754	-1	protein_coding	-0.209134650601041	1.99276664318435	1.05891677380089	0.303462373778375	0.529618581568631
ENSGALG00000039479	BPIFC	BPI fold containing family C, member B [Source:NCBI gene;Acc:771461]	1	53270492	53286236	1	protein_coding	0.722690195879415	-1.26607729324124	1.86924830710697	0.171561196656268	0.365962872947454
ENSGALG00000015073	TMEM39A	transmembrane protein 39A [Source:NCBI gene;Acc:418340]	1	81358311	81383483	-1	protein_coding	-0.116143140512199	5.41021734521177	2.01775781389721	0.155468562268577	0.343497673607401
ENSGALG00000012611	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:NCBI gene;Acc:418064]	1	53286579	53299252	1	protein_coding	-0.132239128780499	6.86554158535014	7.05615429796712	0.00789933926478313	0.035968999942848
ENSGALG00000015069	B4GALT4	beta-1,4-galactosyltransferase 4 [Source:NCBI gene;Acc:418341]	1	81391656	81407632	1	protein_coding	0.0117020008694875	5.32249980920731	0.028976807691393	0.864832597680756	0.941165170988693
ENSGALG00000022891		beta-1,4-galactosyltransferase 3 [Source:NCBI gene;Acc:418342]	1	81408455	81422616	-1	protein_coding	-0.00057123238749319	5.60825597260853	2.95674626613618e-05	0.995661446573817	1
ENSGALG00000012619	PRDM4	PR/SET domain 4 [Source:NCBI gene;Acc:418065]	1	53325209	53342024	1	protein_coding	-0.0309427059295181	4.16924058274924	0.116043681931053	0.733365691938786	0.872586426310192
ENSGALG00000017158	POGLUT3	KDEL motif containing 2 [Source:NCBI gene;Acc:418966]	1	181559336	181567603	1	protein_coding	0.147979354333465	5.02791343715061	1.97602554283949	0.159809734445982	0.350199003763262
