Gene.name	geneSymbol	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Strand	Gene.type	Gene.description	logCPM	adjP_gonad	adjP_brain	FB_MB	FB_O	FB_T	MB_O	MB_T	O_T
ABCD2	ENSCJPG00005007316	1	13685955	13723906	1	protein_coding	ATP binding cassette subfamily D member 2 [Source:NCBI gene;Acc:107308026]	9.839578887	0.69222587	1	1	0.003119738	1.24e-05	0.014096481	0.000109444	0.200959651
ABCG5	ENSCJPG00005010003	3	22457941	22471601	-1	protein_coding	ATP binding cassette subfamily G member 5 [Source:NCBI gene;Acc:107311176]	5.227819536	6.23e-13	1	1	0.306933166	0.169543746	0.093248354	0.397175558	0.014546216
ABCG8	ENSCJPG00005010029	3	22468436	22483901	1	protein_coding	ATP binding cassette subfamily G member 8 [Source:NCBI gene;Acc:107311175]	2.735489334	0.009066997	1	1	0.431812006	0.440333967	0.321962148	0.340867899	1
ABHD6	ENSCJPG00005013938	12	6617051	6625045	1	protein_coding	abhydrolase domain containing 6 [Source:NCBI gene;Acc:107320004]	9.310707303	3.4e-80	1	1	0.976173515	1.55e-37	0.715809917	4.23e-36	9.22e-38
ABI2	ENSCJPG00005015864	7	11945146	11992777	-1	protein_coding	abl interactor 2 [Source:NCBI gene;Acc:107316603]	8.789679833	0.001779783	1	1	4.87e-08	5.17e-06	1.91e-06	0.000122634	0.37698573
ABI3	ENSCJPG00005019354	27	3002861	3006660	-1	protein_coding	ABI family member 3 [Source:NCBI gene;Acc:107325087]	4.31566778	0.009993996	1	0.938145635	0.16664194	0.119908785	0.004413069	0.723834536	0.001547593
ACADL	ENSCJPG00005013840	7	6693863	6707838	-1	protein_coding	acyl-CoA dehydrogenase long chain [Source:NCBI gene;Acc:107316458]	10.78638043	0.682010776	1	1	0.640192319	0.46878463	0.450950834	0.659673805	0.194005682
ACER1	ENSCJPG00005009833	28	997129	1004790	-1	protein_coding	alkaline ceramidase 1 [Source:NCBI gene;Acc:107325653]	6.390664826	1.3e-27	0.796849268	0.958496978	0.28840445	8.59e-11	1	6.33e-15	5.58e-14
ACMSD	ENSCJPG00005020456	7	27639524	27658594	1	protein_coding	aminocarboxymuconate semialdehyde decarboxylase [Source:NCBI gene;Acc:107316878]	3.196550729	7.56e-05	1	0.084469047	8.57e-07	0.00053127	0.017548912	0.422439431	0.147416456
ACSM3	ENSCJPG00005018771	14	12669874	12678198	1	protein_coding	acyl-coenzyme A synthetase ACSM3, mitochondrial-like [Source:NCBI gene;Acc:107321005]	4.511019656	0.603587638	1	1	0.43695131	1	0.929330186	0.523931153	0.457119572
ACTL9	ENSCJPG00005009843	28	1115923	1117509	-1	protein_coding	actin like 9 [Source:NCBI gene;Acc:107325364]	12.06299222	6.69e-108	1	1	0.000337188	2e-108	6.18e-06	1.51e-115	1.47e-94
ACTN2	ENSCJPG00005017895	3	33810763	33871267	-1	protein_coding	actinin alpha 2 [Source:NCBI gene;Acc:107311412]	8.516492654	2.61e-08	1	1	0.037259618	0.968791725	0.037231542	0.980574707	0.038118845
ACVR1	ENSCJPG00005020493	7	29785255	29818867	1	protein_coding	activin A receptor type 1 [Source:NCBI gene;Acc:107316966]	10.00663636	8.23e-37	1	1	0.000259978	5.16e-08	0.000441787	2.17e-08	5.55e-19
ACYP2	ENSCJPG00005015971	3	4786300	4823386	1	protein_coding	acylphosphatase 2 [Source:NCBI gene;Acc:107310781]	7.967816974	0.002735656	1	1	1.81e-05	3.37e-05	4.97e-05	9.14e-05	0.891395962
ADNP2	ENSCJPG00005018000	2	72424738	72434004	1	protein_coding	ADNP homeobox 2 [Source:NCBI gene;Acc:107309776]	10.34369471	0.865757683	1	1	0.057350291	0.616322716	0.031335753	0.475207543	0.165167964
ADPRH	ENSCJPG00005003373	1	82743640	82753741	-1	protein_coding	ADP-ribosylarginine hydrolase [Source:NCBI gene;Acc:107322016]	8.495773335	1e-14	1	1	9.04e-05	0.422341928	0.00032881	0.633728392	0.002103867
ADRM1	ENSCJPG00005003018	20	6991308	6997554	1	protein_coding	adhesion regulating molecule 1 [Source:NCBI gene;Acc:107322937]	10.55945275	0.134214221	1	1	0.223291847	0.488090214	0.175424473	0.426597953	0.596017326
AEBP1	ENSCJPG00005011617	22	55476	61483	1	protein_coding	AE binding protein 1 [Source:NCBI gene;Acc:107323663]	10.06675797	1.3e-25	1	1	3.35e-43	0.001471659	3.2e-47	0.00025146	6.45e-31
AIF1L	ENSCJPG00005003463	17	4665308	4674956	1	protein_coding	allograft inflammatory factor 1 like [Source:NCBI gene;Acc:107321815]	8.99365125	0.236923555	0.972736351	0.305681902	0.067092017	0.080479611	0.841793994	0.743769679	0.933164884
AIG1	ENSCJPG00005008694	3	47446293	47556518	-1	protein_coding	androgen induced 1 [Source:NCBI gene;Acc:107311648]	6.849358939	0.550253639	1	1	1.19e-11	3.32e-22	3.46e-10	2.46e-20	0.001319016
AIMP2	ENSCJPG00005013504	14	1067811	1069888	-1	protein_coding	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:NCBI gene;Acc:107320611]	10.08616605	1.99e-09	1	1	0.193604104	0.000750169	0.10145655	0.000223128	0.055609393
AJAP1	ENSCJPG00005009344	21	671852	700754	-1	protein_coding	adherens junctions associated protein 1 [Source:NCBI gene;Acc:107323468]	5.13761131	0.000155206	1	1	3.89e-17	6.75e-11	3.01e-17	9.03e-11	0.042700626
AKAP1	ENSCJPG00005018648	19	7713636	7723886	-1	protein_coding	A-kinase anchoring protein 1 [Source:NCBI gene;Acc:107322744]	12.80368501	3.97e-12	1	1	1.47e-25	3.02e-07	4.04e-25	5.42e-07	4.57e-09
ALG12	ENSCJPG00005008349	1	16811646	16821688	-1	protein_coding	ALG12 alpha-1,6-mannosyltransferase [Source:NCBI gene;Acc:107308331]	9.100570205	1.52e-08	1	1	0.000763647	0.022841588	0.000785602	0.020704466	8.58e-09
ALG2	ENSCJPG00005007072	2	80799147	80800741	1	protein_coding	ALG2 alpha-1,3/1,6-mannosyltransferase [Source:NCBI gene;Acc:107309970]	7.804101384	0.003428128	1	1	6.32e-06	0.002669827	1.06e-06	0.000779153	0.140213311
ALX1	ENSCJPG00005004774	1	38052175	38072795	1	protein_coding	ALX homeobox 1 [Source:NCBI gene;Acc:107311232]	6.032406472	3.43e-19	0.900225515	0.305681902	1.61e-37	0.009487869	3.34e-35	0.602920348	7.66e-31
ALX4	ENSCJPG00005010823	5	19420639	19444049	-1	protein_coding	ALX homeobox 4 [Source:NCBI gene;Acc:107314817]	4.001427419	4.71e-10	1	0.958496978	0.355666819	0.305082974	0.885091099	0.030352771	0.047182927
AMFR	ENSCJPG00005001559	11	502383	520578	-1	protein_coding	autocrine motility factor receptor [Source:NCBI gene;Acc:107319168]	12.20985515	5.23e-57	1	1	0.531640018	3.56e-07	0.566027205	4.83e-07	1.27e-05
AMPH	ENSCJPG00005006395	2	77321576	77420639	1	protein_coding	amphiphysin [Source:NCBI gene;Acc:107309859]	8.370338804	5.78e-10	1	1	1.47e-62	4.93e-31	1.96e-61	5.94e-30	6.51e-14
ANK1	ENSCJPG00005015227	22	3983645	4030427	-1	protein_coding	ankyrin 1 [Source:NCBI gene;Acc:107323747]	8.721199178	0.11122801	1	1	0.913382159	0.004817061	0.340986447	0.030082938	0.001827163
ANKH	ENSCJPG00005015490	2	53961093	54211795	-1	protein_coding	ANKH inorganic pyrophosphate transport regulator [Source:NCBI gene;Acc:107309521]	9.587884163	1.94e-09	1	1	0.123011211	3.07e-09	0.023505339	1.34e-07	6.77e-14
ANKK1	ENSCJPG00005012929	24	5013534	5020759	-1	protein_coding	ankyrin repeat and kinase domain containing 1 [Source:NCBI gene;Acc:107324102]	3.458042994	1.37e-09	1	0.727350807	0.201310792	0.050261775	1	0.000912726	0.002599957
ANLN	ENSCJPG00005014786	2	42729382	42755946	-1	protein_coding	anillin actin binding protein [Source:NCBI gene;Acc:107309428]	12.68568885	3.43e-50	1	1	0.000513656	6.53e-19	0.008830617	2.81e-16	1.3e-08
ANO1	ENSCJPG00005016846	5	7011458	7054580	-1	protein_coding	anoctamin 1 [Source:NCBI gene;Acc:107314462]	9.502290865	0.001130532	1	0.752075212	0.812074989	0.040644295	0.071341341	0.525661084	0.014928998
ANXA2	ENSCJPG00005012682	10	4201509	4222142	1	protein_coding	annexin A2 [Source:NCBI gene;Acc:107318549]	11.77562115	8.81e-05	1	0.958496978	2.98e-23	9.33e-11	4.76e-28	1.76e-14	0.000106837
ANXA4	ENSCJPG00005011724	22	160182	164061	-1	protein_coding	annexin A4 [Source:NCBI gene;Acc:107323682]	8.624029622	0.037633015	1	1	0.032939205	1.21e-05	0.084659041	1.02e-06	4.39e-11
ANXA5	ENSCJPG00005003633	4	48304466	48327214	1	protein_coding	annexin A5 [Source:NCBI gene;Acc:107313559]	10.98275562	3.01e-59	1	1	1.03e-09	1.26e-10	1.33e-08	5.27e-12	6.58e-32
AP1AR	ENSCJPG00005006795	4	51255287	51270956	-1	protein_coding	adaptor related protein complex 1 associated regulatory protein [Source:NCBI gene;Acc:107313593]	8.506356716	0.005151966	1	1	0.670250397	0.003978496	0.474615953	0.009474338	0.00060668
AP1B1	ENSCJPG00005015643	15	9938569	9950444	1	protein_coding	adaptor related protein complex 1 subunit beta 1 [Source:NCBI gene;Acc:107321345]	10.76920156	0.014581009	1	1	0.871243151	0.073353881	0.68330451	0.118051472	0.039188679
AP1M1	ENSCJPG00005015181	28	3465290	3471784	-1	protein_coding	adaptor related protein complex 1 subunit mu 1 [Source:NCBI gene;Acc:107325490]	9.820064262	8.85e-14	1	1	0.161983118	3.11e-10	0.011512426	5.97e-14	1.12e-06
AP1S3	ENSCJPG00005005795	9	6838369	6852434	-1	protein_coding	adaptor related protein complex 1 subunit sigma 3 [Source:NCBI gene;Acc:107318016]	8.392817085	1.69e-18	1	0.690498616	3.08e-38	1.68e-07	4.3e-46	3.59e-12	1.78e-18
AP3B2	ENSCJPG00005001680	10	767748	777902	-1	protein_coding	adaptor related protein complex 3 subunit beta 2 [Source:NCBI gene;Acc:107318651]	9.550296232	0.005046487	1	1	2.02e-09	0.000154799	8.34e-09	0.000438799	0.027854416
AP3D1	ENSCJPG00005009864	28	1284121	1302267	1	protein_coding	adaptor related protein complex 3 subunit delta 1 [Source:NCBI gene;Acc:107325396]	12.38451854	0.181488086	1	1	0.046239345	0.561759076	0.044907662	0.567477599	0.163045707
APH1A	ENSCJPG00005015160	25	1909057	1914665	-1	protein_coding	aph-1 homolog A, gamma-secretase subunit [Source:NCBI gene;Acc:107324514]	10.26357389	0.00091553	1	1	0.380301348	3.36e-09	0.593606406	2.05e-08	7.17e-07
APOA1	ENSCJPG00005010969	24	4416340	4417562	-1	protein_coding	apolipoprotein A1 [Source:NCBI gene;Acc:107324159]	14.97674961	2.14e-48	1	1	8.38e-08	4.49e-20	8.65e-07	5.92e-22	1.82e-41
APOA4	ENSCJPG00005010968	24	4412891	4414228	-1	protein_coding	apolipoprotein A4 [Source:NCBI gene;Acc:107324157]	4.086085421	0.013892511	1	1	0.933189862	0.026292056	0.479455017	0.000786794	0.014989598
APOB	ENSCJPG00005011298	3	93258550	93294037	-1	protein_coding	apolipoprotein B [Source:NCBI gene;Acc:107312270]	6.086308607	5.41e-06	1	1	0.350829338	0.000818387	0.297174089	0.000225355	0.006242959
AQP3	ENSCJPG00005005515	Z	6681579	6692745	-1	protein_coding	aquaporin-3-like [Source:NCBI gene;Acc:107305752]	6.130164396	0.000662642	1	1	3.53e-05	9.31e-05	0.001849224	4.31e-07	1.9e-15
ARL8A	ENSCJPG00005006829	26	723550	732681	-1	protein_coding	ADP ribosylation factor like GTPase 8A [Source:NCBI gene;Acc:107324635]	8.260092833	0.711354608	1	1	2.03e-07	3.25e-12	5.38e-08	6.17e-13	0.081435781
ARL9	ENSCJPG00005010630	4	43931301	43934904	1	protein_coding	ADP ribosylation factor like GTPase 9 [Source:HGNC Symbol;Acc:HGNC:23592]	7.166049414	0.526195535	1	0.804214301	1.21e-08	0.001209558	7.72e-13	1.89e-06	0.013988296
ARPC4	ENSCJPG00005016578	12	9005427	9006476	1	protein_coding	actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]	9.61515348	0.436862893	1	1	3.16e-05	0.282284395	5.15e-05	0.337702507	0.002431378
ARSB	ENSCJPG00005007983	Z	12623948	12684492	-1	protein_coding	arylsulfatase B [Source:NCBI gene;Acc:107305934]	7.684876279	4.87e-06	0.1311383	0.043542427	2.04e-07	0.326513132	0.03873884	3.07e-05	4.63e-10
ARSG	ENSCJPG00005021281	18	6428286	6445073	-1	protein_coding	arylsulfatase G [Source:NCBI gene;Acc:107322106]	8.18119429	0.29291963	1	1	0.002714988	0.26393937	0.03953773	0.88985998	0.066015501
ARTN	ENSCJPG00005009721	8	17979991	17982504	1	protein_coding	artemin [Source:HGNC Symbol;Acc:HGNC:727]	3.113028983	0.062390624	0.972736351	1	3.37e-05	0.720263775	0.000581475	0.601051617	0.000113964
ASB16	ENSCJPG00005019310	27	2462078	2472743	-1	protein_coding	ankyrin repeat and SOCS box containing 16 [Source:NCBI gene;Acc:107325282]	8.724333617	9.1e-09	1	1	0.56234894	0.505777945	0.503938644	0.462688817	0.958640987
ASIC5	ENSCJPG00005000509	4	18483191	18507826	-1	protein_coding	acid sensing ion channel subunit family member 5 [Source:NCBI gene;Acc:107312970]	3.830297797	0.001355086	1	0.221878767	0.137028623	0.296459833	0.460691372	0.000948446	0.011081639
ASMT	ENSCJPG00005018249	1	116225679	116231918	-1	protein_coding	acetylserotonin O-methyltransferase [Source:NCBI gene;Acc:107305906]	4.602194974	0.198072869	1	1	0.135003135	0.004428661	0.014609117	0.000118894	0.203817224
ASXL2	ENSCJPG00005012928	3	95655957	95716581	-1	protein_coding	ASXL transcriptional regulator 2 [Source:NCBI gene;Acc:107312372]	9.892080795	0.000165898	1	1	0.399475645	0.800043495	0.049139845	0.493944816	0.229288814
ATF2	ENSCJPG00005017743	7	14850727	14895419	1	protein_coding	activating transcription factor 2 [Source:NCBI gene;Acc:107316660]	9.013368447	0.005046553	1	1	0.010957748	3.01e-12	0.025863872	2.29e-11	9.99e-06
ATF4	ENSCJPG00005013316	1	46171261	46172955	-1	protein_coding	activating transcription factor 4 [Source:NCBI gene;Acc:107312723]	11.09294282	2.63e-27	1	1	0.105042885	1.94e-17	0.207921611	3.09e-16	4.94e-12
ATG10	ENSCJPG00005000682	Z	56500283	56551957	-1	protein_coding	autophagy related 10 [Source:NCBI gene;Acc:107306544]	5.942422314	0.000266281	1	0.073479474	0.67584638	4.21e-06	0.021153408	0.100055056	4.23e-05
ATG5	ENSCJPG00005009448	3	62047135	62109421	1	protein_coding	autophagy related 5 [Source:NCBI gene;Acc:107311863]	8.908242176	0.033576612	1	1	0.975837407	0.002222098	0.53381719	0.024230077	0.002806179
ATOH8	ENSCJPG00005004828	4	77352668	77364965	1	protein_coding	atonal bHLH transcription factor 8 [Source:NCBI gene;Acc:107314014]	5.85064235	6.96e-13	1	1	0.390248808	1.21e-16	0.154236004	3.02e-15	5.49e-20
BAG3	ENSCJPG00005020144	6	26990328	27007160	1	protein_coding	BCL2 associated athanogene 3 [Source:NCBI gene;Acc:107316174]	11.3926904	9.72e-39	1	1	1.01e-09	0.023790836	1.02e-08	0.006933527	8.07e-17
BAMBI	ENSCJPG00005003754	2	13858256	13865039	-1	protein_coding	BMP and activin membrane bound inhibitor [Source:NCBI gene;Acc:107308984]	9.614826237	1.01e-06	1	1	4.77e-11	0.556942995	1.33e-11	0.470540347	2.36e-09
BASP1	ENSCJPG00005015520	2	54926595	54939750	1	protein_coding	brain abundant membrane attached signal protein 1 [Source:NCBI gene;Acc:107309535]	10.68112742	1.46e-15	1	1	3.35e-05	1.6e-25	1.67e-06	5.34e-28	1.59e-11
BATF3	ENSCJPG00005007466	3	19239780	19242203	1	protein_coding	basic leucine zipper ATF-like transcription factor 3 [Source:NCBI gene;Acc:107311073]	6.115717985	0.01263385	0.914220102	0.171126633	0.000880198	7.65e-28	0.471605808	1.11e-17	3.06e-17
BBS2	ENSCJPG00005002316	11	537674	549707	-1	protein_coding	Bardet-Biedl syndrome 2 [Source:NCBI gene;Acc:107319174]	11.27843584	2.24e-14	1	1	0.751657563	5.24e-07	0.799233786	7.11e-07	4.13e-06
BCAR1	ENSCJPG00005004583	11	682779	687500	1	protein_coding	BCAR1 scaffold protein, Cas family member [Source:NCBI gene;Acc:107319194]	10.70662973	0.687856102	1	1	0.186169414	0.877964899	0.06273042	0.532520437	0.231571587
BCL2	ENSCJPG00005016773	2	62998515	63082314	-1	protein_coding	BCL2 apoptosis regulator [Source:NCBI gene;Acc:107309650]	6.43334654	0.001769211	1	1	0.074187819	1.11e-19	0.131518354	1.01e-18	2.22e-13
BCOR	ENSCJPG00005016737	1	101315017	101342920	1	protein_coding	BCL6 corepressor [Source:NCBI gene;Acc:107324597]	9.144881693	0.207293497	1	1	1	2.25e-06	0.34396727	4.26e-06	5.73e-07
BDNF	ENSCJPG00005015313	5	3062181	3062921	-1	protein_coding	brain derived neurotrophic factor [Source:NCBI gene;Acc:107314325]	6.933150668	1.67e-09	1	0.958496978	0.795531736	1.27e-13	0.445904116	2.73e-10	1.85e-12
BEND4	ENSCJPG00005017047	4	61669070	61695474	1	protein_coding	BEN domain containing 4 [Source:NCBI gene;Acc:107313800]	7.879247691	0.147815329	1	1	0.005119373	0.612312229	0.017183639	0.9984208	0.022150364
BEST1	ENSCJPG00005017812	5	7917200	7924359	-1	protein_coding	bestrophin 1 [Source:NCBI gene;Acc:107314459]	6.146086336	0.947183481	1	0.374801296	1.69e-09	2.64e-08	2.77e-05	0.000197867	0.674394683
BEST4	ENSCJPG00005009749	8	18401313	18404438	-1	protein_coding	bestrophin 4 [Source:NCBI gene;Acc:107317518]	3.311884483	0.009862247	1	1	1	0.012129409	0.337188107	0.042134053	0.005403695
BFSP2	ENSCJPG00005004312	2	39196178	39205622	1	protein_coding	beaded filament structural protein 2 [Source:NCBI gene;Acc:107309349]	3.95193475	6.64e-13	1	1	1.51e-13	0.265706094	9.14e-14	0.238760659	4.04e-17
BICD1	ENSCJPG00005020234	1	53197492	53384361	1	protein_coding	BICD cargo adaptor 1 [Source:NCBI gene;Acc:107315663]	7.124789749	7.44e-11	1	1	3.01e-05	0.770381299	0.000307313	0.353886447	4.44e-06
BIN3	ENSCJPG00005015128	22	2540042	2549175	1	protein_coding	bridging integrator 3 [Source:HGNC Symbol;Acc:HGNC:1054]	7.8010526	0.624024442	1	1	0.064530541	0.043482765	0.024177708	0.0153031	0.930721556
BLM	ENSCJPG00005021125	10	18059922	18075630	-1	protein_coding	BLM RecQ like helicase [Source:NCBI gene;Acc:107318949]	10.01643259	1.53e-05	1	1	2.53e-26	2.07e-13	1.11e-27	1.81e-14	0.000169239
BMP15	ENSCJPG00005005745	4	1815660	1817334	1	protein_coding	bone morphogenetic protein 15 [Source:NCBI gene;Acc:107312523]	8.802985004	3.95e-68	1	1	8.09e-61	0.03585022	2.49e-63	0.033578765	1.16e-52
BMP2	ENSCJPG00005003818	3	13150776	13153978	-1	protein_coding	bone morphogenetic protein 2 [Source:NCBI gene;Acc:107310979]	7.407652892	0.126269945	1	1	3.75e-05	0.004354391	1.85e-06	0.001015751	0.135780475
BMP4	ENSCJPG00005012229	5	53147976	53150903	-1	protein_coding	bone morphogenetic protein 4 [Source:NCBI gene;Acc:107315532]	7.930281988	2.44e-16	0.919588794	0.26794422	0.047064145	4.35e-18	1.37e-05	7.95e-11	1.52e-25
BMPER	ENSCJPG00005006895	2	78353549	78500216	-1	protein_coding	BMP binding endothelial regulator [Source:NCBI gene;Acc:107309894]	6.732142862	0.000716594	1	1	0.904391835	6.61e-11	0.812831499	2.06e-12	2.23e-11
BNC2	ENSCJPG00005007620	Z	29087663	29455650	-1	protein_coding	basonuclin 2 [Source:NCBI gene;Acc:107306154]	7.737756526	3.44e-15	1	0.018965328	1.14e-38	0.000141709	4.11e-27	0.65089353	8.24e-25
BOLA1	ENSCJPG00005013984	25	421247	426324	-1	protein_coding	bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]	7.008354668	2.41e-05	1	1	0.152646558	1.1e-12	0.300788424	1.41e-11	1.78e-08
BRAF	ENSCJPG00005020278	1	55346686	55416815	1	protein_coding	B-Raf proto-oncogene, serine/threonine kinase [Source:NCBI gene;Acc:107315883]	10.11818126	3.35e-22	1	1	0.023366724	0.189922203	0.031374109	0.257739863	0.339773165
BRCC3	ENSCJPG00005011181	4	2128805	2136811	1	protein_coding	BRCA1/BRCA2-containing complex subunit 3 [Source:NCBI gene;Acc:107312493]	9.130413418	0.004124715	1	1	0.000505008	0.001004297	0.000212934	0.000451847	0.847367796
BTC	ENSCJPG00005008696	4	30550126	30552842	1	protein_coding	betacellulin [Source:NCBI gene;Acc:107313201]	8.190469052	1.83e-09	1	0.592852719	6.36e-32	2.16e-08	2.74e-40	8.7e-14	1.45e-12
BTG1	ENSCJPG00005004908	1	40436499	40438915	-1	protein_coding	BTG anti-proliferation factor 1 [Source:NCBI gene;Acc:107311516]	12.1313369	7.61e-34	1	0.841024144	2.05e-05	0.006995379	1.2e-08	0.220571843	2.85e-12
BUD13	ENSCJPG00005010937	24	4399995	4405074	-1	protein_coding	BUD13 homolog [Source:NCBI gene;Acc:107324155]	10.38163964	0.051981919	1	1	1.31e-06	4.37e-07	2.48e-09	6.86e-10	0.88082655
