geneSymbol	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Strand	Gene.type	Gene.name	Gene.description	logFC	logCPM	LR	PValue	FDR
ENSCJPG00005000042	1	2704	5103	-1	protein_coding			0.0772708572630401	0.184361894979674	0.00908754973381853	0.924053794266889	0.999994658757757
ENSCJPG00005000066	1	9060	22306	-1	pseudogene			-0.131867902920091	6.57629740447321	0.262656768838443	0.608300766134764	0.999994658757757
ENSCJPG00005000168	1	23213	26619	1	protein_coding		dehydrogenase/reductase SDR family member 4-like [Source:NCBI gene;Acc:107305688]	-0.252887107883846	4.20831027295624	0.288918132849366	0.590914651644682	0.999994658757757
ENSCJPG00005000177	1	28898	29088	1	snRNA	U2	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	0.170722609814109	-1.93783823253532	0.0215437906765965	0.883307224791785	0.999994658757757
ENSCJPG00005000202	1	35333	39094	-1	protein_coding			0.817096764465889	-0.294678186692559	0.641532057135311	0.423156561035624	0.999994658757757
ENSCJPG00005000211	1	40547	43207	-1	protein_coding			0.555842275788629	0.217148787754124	0.547184199650102	0.459470516550731	0.999994658757757
ENSCJPG00005000221	1	52390	56047	-1	protein_coding		guanylyl cyclase-activating protein 1-like [Source:NCBI gene;Acc:107317046]	0.373622479054465	-1.67170460195457	0.167986499881372	0.681907503576709	0.999994658757757
ENSCJPG00005000232	1	60565	92413	1	protein_coding	GOLGB1	golgin B1 [Source:NCBI gene;Acc:107315151]	-0.094058845409287	7.48936307885006	0.240827476483139	0.623609105468716	0.999994658757757
ENSCJPG00005000240	1	94667	105530	1	protein_coding	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:NCBI gene;Acc:107316499]	0.158555623543597	2.24374385051355	0.135977220831858	0.712313410948079	0.999994658757757
ENSCJPG00005000246	1	106435	125888	-1	protein_coding			-0.318980566559591	-0.836231627040686	0.242274717667424	0.622567999605521	0.999994658757757
ENSCJPG00005000256	1	135417	138222	-1	protein_coding	NME6	NME/NM23 nucleoside diphosphate kinase 6 [Source:NCBI gene;Acc:107319356]	0.0813595160869997	2.68765948814138	0.0400669661435495	0.841349704961383	0.999994658757757
ENSCJPG00005000259	1	138243	142283	1	protein_coding		RAB, member of RAS oncogene family like 2B [Source:NCBI gene;Acc:107318741]	0.0714785072688945	5.78467568663278	0.0561147206089601	0.812745651134768	0.999994658757757
