Chicken_geneSymbol		Chicken_chromosome	Gene start (bp)	Gene end (bp)	Chicken_gene_name	Quail_geneSymbol	Quail_geneName	Quail_Chromosome	Japanese quail homology type	"Japanese quail orthology confidence [0 low, 1 high]"
ENSGALG00000043768		MT	5241	6279	MT-ND2	ENSCJPG00005000011	ND2	MT	ortholog_one2one	1
ENSGALG00000032142		MT	6645	8192	MT-CO1	ENSCJPG00005000017	COX1	MT	ortholog_one2one	1
ENSGALG00000032456		MT	8331	9014	COII	ENSCJPG00005000020	COX2	MT	ortholog_one2one	1
ENSGALG00000032465		MT	9085	9249	ATP8	ENSCJPG00005000022	ATP8	MT	ortholog_one2one	1
ENSGALG00000041091		MT	9240	9923	ATP6	ENSCJPG00005000023	ATP6	MT	ortholog_one2one	1
ENSGALG00000035334		MT	9923	10706	COX3	ENSCJPG00005000024	COX3	MT	ortholog_one2one	1
ENSGALG00000030436		MT	10776	11126	ND3	ENSCJPG00005000026	ND3	MT	ortholog_one2one	1
ENSGALG00000042478		MT	11196	11492	ND4L	ENSCJPG00005000028	ND4L	MT	ortholog_one2one	1
ENSGALG00000036229		MT	11486	12863	ND4	ENSCJPG00005000029	ND4	MT	ortholog_one2one	1
ENSGALG00000029500		MT	13071	14888	ND5	ENSCJPG00005000033	ND5	MT	ortholog_one2one	1
ENSGALG00000032079		MT	14893	16035	CYTB	ENSCJPG00005000034	CYTB	MT	ortholog_one2one	1
ENSGALG00000037838		MT	16184	16705	ND6	ENSCJPG00005000037	ND6	MT	ortholog_one2one	1
ENSGALG00000041371		28	1263417	1290391		ENSCJPG00005006208		28	ortholog_one2one	1
ENSGALG00000040316		9	2867618	3029975	GPC1	ENSCJPG00005014560	GPC1	9	ortholog_one2one	1
ENSGALG00000045317		14	13896398	13899484	NHLRC4	ENSCJPG00005017450	NHLRC4	14	ortholog_one2one	1
ENSGALG00000007538		4	11333698	11336766		ENSCJPG00005016920		4	ortholog_one2one	1
ENSGALG00000041309		5	21884897	21900048	ALKBH3	ENSCJPG00005010819	ALKBH3	5	ortholog_one2one	1
ENSGALG00000006134		6	23275784	23279169	HOGA1	ENSCJPG00005019552	HOGA1	6	ortholog_one2one	1
ENSGALG00000033656		4	90893195	90900224	DQX1	ENSCJPG00005006891	DQX1	KQ966658.1	ortholog_one2one	1
ENSGALG00000005622		12	9119458	9129851	ARF4	ENSCJPG00005013444	ARF4	12	ortholog_one2one	1
ENSGALG00000004645		17	5637157	5645118	TBC1D13	ENSCJPG00005020304	TBC1D13	17	ortholog_one2one	1
ENSGALG00000006123		20	9658906	9695548		ENSCJPG00005005965		20	ortholog_one2one	1
ENSGALG00000012984		28	1291895	1303396		ENSCJPG00005009716		28	ortholog_one2one	1
ENSGALG00000005959		8	14599942	14643173	GLMN	ENSCJPG00005008167	GLMN	8	ortholog_one2one	1
ENSGALG00000007539		6	23279065	23281033	ANKRD2	ENSCJPG00005019553	ANKRD2	6	ortholog_one2one	1
ENSGALG00000012550		1	52103308	52109433	HMOX1	ENSCJPG00005018177	HMOX1	1	ortholog_one2one	1
ENSGALG00000005770		13	14000097	14017080	HMGXB3	ENSCJPG00005005648	HMGXB3	13	ortholog_one2one	1
ENSGALG00000037018		18	9768623	9777344	USP36	ENSCJPG00005021179	USP36	18	ortholog_one2one	1
ENSGALG00000004259		19	6371390	6387309	BLMH	ENSCJPG00005013081	BLMH	19	ortholog_one2one	1
ENSGALG00000016736		1	131681532	131744672	CYFIP1	ENSCJPG00005018725	CYFIP1	1	ortholog_one2one	1
ENSGALG00000006130		20	9700709	9711179	STMN3	ENSCJPG00005005957	STMN3	20	ortholog_one2one	1
ENSGALG00000020359		5	54616844	54619695	SIX6	ENSCJPG00005005472	SIX6	5	ortholog_one2one	1
ENSGALG00000009728		2	24127768	24221691	SLC25A13	ENSCJPG00005011503	SLC25A13	2	ortholog_one2one	1
ENSGALG00000008457		3	4154797	4182140	RIN2	ENSCJPG00005015589	RIN2	3	ortholog_one2one	1
ENSGALG00000028026		Z	16103569	16149274	NDUFS4	ENSCJPG00005000889	NDUFS4	Z	ortholog_one2one	1
ENSGALG00000047077		15	320872	329664	SLC25A1	ENSCJPG00005018807	SLC25A1	15	ortholog_one2one	1
ENSGALG00000029166		6	23282276	23286288	UBTD1	ENSCJPG00005019554	UBTD1	6	ortholog_one2one	1
ENSGALG00000039125		27	5506855	5508435	PPY	ENSCJPG00005019316		27	ortholog_one2one	1
ENSGALG00000016325		3	88388999	88395707	GSTA3	ENSCJPG00005007886		3	ortholog_one2one	1
ENSGALG00000001985		14	13900515	13930696	PIGQ	ENSCJPG00005017451	PIGQ	14	ortholog_one2one	1
ENSGALG00000007093		18	9776820	9792219	CYTH1	ENSCJPG00005021178	CYTH1	18	ortholog_one2one	1
ENSGALG00000011189		3	41213958	41220324	DYNLT2	ENSCJPG00005003922	DYNLT2	3	ortholog_one2one	1
ENSGALG00000005656		12	9131936	9151391	DENND6A	ENSCJPG00005013448	DENND6A	12	ortholog_one2one	1
ENSGALG00000002514		23	4538494	4546750	SFPQ	ENSCJPG00005017099	SFPQ	23	ortholog_one2one	1
ENSGALG00000003126		7	3087685	3490215	ERBB4	ENSCJPG00005014005	ERBB4	7	ortholog_one2one	1
ENSGALG00000030118		4	90918030	90921683	PCGF1	ENSCJPG00005006888	PCGF1	KQ966658.1	ortholog_one2one	1
ENSGALG00000004622		17	5651404	5657476	SPOUT1	ENSCJPG00005020306	SPOUT1	17	ortholog_one2one	1
ENSGALG00000023576		1	19335370	19339085	PIM3	ENSCJPG00005008375	PIM3	1	ortholog_one2one	1
ENSGALG00000014911		Z	16201009	16414354	ARL15	ENSCJPG00005000935	ARL15	Z	ortholog_one2one	1
ENSGALG00000015006		1	81097708	81108336	MAB21L3	ENSCJPG00005017382	MAB21L3	1	ortholog_one2one	1
ENSGALG00000002517		23	4556794	4557658	TMEM35B	ENSCJPG00005017100	TMEM35B	23	ortholog_one2one	1
ENSGALG00000017145		1	180550812	180568847	MPHOSPH8	ENSCJPG00005001488	MPHOSPH8	1	ortholog_one2one	1
ENSGALG00000012869		2	67682465	67690037	OVA	ENSCJPG00005015610		2	ortholog_one2one	1
ENSGALG00000008554		1	20198062	20240989	IL17REL	ENSCJPG00005008433	IL17REL	1	ortholog_one2one	1
ENSGALG00000037002		15	322561	322625	U6	ENSCJPG00005018809	U6	15	ortholog_one2one	1
ENSGALG00000032980		23	4578052	4585150	DLGAP3	ENSCJPG00005017102	DLGAP3	23	ortholog_one2one	1
ENSGALG00000004444		11	7865514	7879259	SHCBP1	ENSCJPG00005014383	SHCBP1	11	ortholog_one2one	1
ENSGALG00000028551		3	88395964	88419649		ENSCJPG00005007914		3	ortholog_one2one	1
ENSGALG00000039685		20	9717686	9728495	GMEB2	ENSCJPG00005005904	GMEB2	20	ortholog_one2one	1
ENSGALG00000015016		1	81130221	81161028	SLC22A15	ENSCJPG00005017383	SLC22A15	1	ortholog_one2one	1
ENSGALG00000015627		Z	62725137	62818255	HAPLN1	ENSCJPG00005000544	HAPLN1	Z	ortholog_one2one	1
ENSGALG00000035906		4	51746647	51768995	YTHDC1	ENSCJPG00005001830	YTHDC1	4	ortholog_one2one	1
ENSGALG00000035466		7	35329301	35401729	CACNB4	ENSCJPG00005020513		7	ortholog_one2one	1
