geneSymbol	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Strand	Gene.type	Gene.name	Gene.description	logFC	logCPM	LR	PValue	FDR
ENSCJPG00005000042	1	2704	5103	-1	protein_coding			5.97094874267623	3.654697581528	120.470577039045	4.99014400473424e-28	4.38038942223795e-27
ENSCJPG00005000066	1	9060	22306	-1	pseudogene			0.5701919859059	3.02510495689441	2.0037128280728	0.156914437215118	0.196260451595538
ENSCJPG00005000168	1	23213	26619	1	protein_coding		dehydrogenase/reductase SDR family member 4-like [Source:NCBI gene;Acc:107305688]	-0.959297613922765	3.67076728901463	10.4600822603584	0.00121981846128519	0.00216886700885557
ENSCJPG00005000177	1	28898	29088	1	snRNA	U2	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	-2.15059681966252	-2.21624328052929	2.46432413597464	0.116457786128952	0.149471523604151
ENSCJPG00005000202	1	35333	39094	-1	protein_coding			-1.61679580822153	0.59993209186218	7.84108502051484	0.00510719430332154	0.00831124213045401
ENSCJPG00005000211	1	40547	43207	-1	protein_coding			-0.317835246641551	0.735943504107955	0.110937867163951	0.739078903457064	0.77559107156824
ENSCJPG00005000221	1	52390	56047	-1	protein_coding		guanylyl cyclase-activating protein 1-like [Source:NCBI gene;Acc:107317046]	3.37222130509084	-2.62375834511169	4.59506087768065	0.0320642041151759	0.0457713120895628
ENSCJPG00005000232	1	60565	92413	1	protein_coding	GOLGB1	golgin B1 [Source:NCBI gene;Acc:107315151]	-2.49460928653513	8.15905987972515	181.542160760872	2.23209058815288e-41	3.19744481867742e-40
ENSCJPG00005000240	1	94667	105530	1	protein_coding	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:NCBI gene;Acc:107316499]	-2.71183429629443	2.46619936893264	22.7240943472383	1.87008252120088e-06	4.56745856785234e-06
ENSCJPG00005000246	1	106435	125888	-1	protein_coding			-2.50215078876757	-0.526468761854565	7.68262118199285	0.00557551253047917	0.00902219300386629
ENSCJPG00005000256	1	135417	138222	-1	protein_coding	NME6	NME/NM23 nucleoside diphosphate kinase 6 [Source:NCBI gene;Acc:107319356]	-0.197454654308826	1.91404971408278	0.225601980229925	0.634804245065348	0.679064982868858
