geneSymbol	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000012550	HMOX1	heme oxygenase 1 [Source:NCBI gene;Acc:396287]	1	52103308	52109433	-1	protein_coding	-0.151687038666815	3.7305763578672	0.798045547415875	0.371678361859009	0.450520440026861
ENSGALG00000016736	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:NCBI gene;Acc:418677]	1	131681532	131744672	1	protein_coding	0.05035954457024	7.72095092127032	0.648207198589493	0.42075438296425	0.500350173710437
ENSGALG00000023576	PIM3	pim-3 oncogene [Source:NCBI gene;Acc:768655]	1	19335370	19339085	-1	protein_coding	-0.763874770389713	4.62772567600303	29.9955820110784	4.33031796626959e-08	1.95960005472884e-07
ENSGALG00000015006	MAB21L3	mab-21 like 3 [Source:NCBI gene;Acc:770247]	1	81097708	81108336	-1	protein_coding	0.00225148847866869	2.62051729893794	0.000146743699799501	0.990334837232448	0.993215592020977
ENSGALG00000017145	MPHOSPH8	M-phase phosphoprotein 8 [Source:NCBI gene;Acc:418957]	1	180550812	180568847	-1	protein_coding	0.244048974270919	5.72199700852338	10.1102520766635	0.00147446795000073	0.00340972391715704
ENSGALG00000008554	IL17REL	interleukin 17 receptor E like [Source:NCBI gene;Acc:769256]	1	20198062	20240989	-1	protein_coding	0.203267817632404	-0.88866011499132	0.171555900717177	0.678732715316796	0.738142173611911
ENSGALG00000015016	SLC22A15	solute carrier family 22 member 15 [Source:NCBI gene;Acc:418336]	1	81130221	81161028	-1	protein_coding	-0.239296636129275	3.22227640616106	1.48064753100608	0.2236732375514	0.292472739205816
ENSGALG00000052027		fibronectin type III domain-containing protein 9-like [Source:NCBI gene;Acc:101748456]	1	131722616	131727023	-1	protein_coding	-3.96325333058795	2.39489329418699	229.038083196514	9.66323341059674e-52	6.07444246771076e-50
ENSGALG00000012552	TOM1	target of myb1 membrane trafficking protein [Source:NCBI gene;Acc:396049]	1	52116279	52137392	-1	protein_coding	-0.550943992578331	5.42817031335301	53.2047021891373	3.00538517360385e-13	2.32697444722084e-12
ENSGALG00000016737	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2 [Source:NCBI gene;Acc:418680]	1	131746791	131757830	-1	protein_coding	0.211607705590899	6.66040592069121	11.2405696866444	0.000800285886005228	0.00194519128778427
ENSGALG00000040038	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1 [Source:NCBI gene;Acc:417737]	1	20257352	20275372	-1	protein_coding	0.0110585943882546	3.44842954784642	0.00317154043945322	0.955089729287258	0.968359101125009
ENSGALG00000012559	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:NCBI gene;Acc:418062]	1	52678868	52954337	1	protein_coding	0.0158534065019111	5.47207187073363	0.0172552758571349	0.895491052918059	0.923491057415213
