geneSymbol	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type	logFC	logCPM	LR	PValue	FDR
ENSGALG00000012550	HMOX1	heme oxygenase 1 [Source:NCBI gene;Acc:396287]	1	52103308	52109433	-1	protein_coding	-0.216918671333086	4.01896750063855	1.48325579308082	0.223265817243126	0.462127005656351
ENSGALG00000016736	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:NCBI gene;Acc:418677]	1	131681532	131744672	1	protein_coding	-0.0624175262921041	7.92833471276215	0.907067906180758	0.340893588267893	0.583907753127608
ENSGALG00000023576	PIM3	pim-3 oncogene [Source:NCBI gene;Acc:768655]	1	19335370	19339085	-1	protein_coding	0.401381509021288	4.31157050328548	4.76026604819414	0.0291240460229122	0.125427690377096
ENSGALG00000015006	MAB21L3	mab-21 like 3 [Source:NCBI gene;Acc:770247]	1	81097708	81108336	-1	protein_coding	-0.114116411166411	1.78343399378	0.235523415976468	0.627458202220073	0.811207845246378
ENSGALG00000017145	MPHOSPH8	M-phase phosphoprotein 8 [Source:NCBI gene;Acc:418957]	1	180550812	180568847	-1	protein_coding	-0.115161883778568	6.10631351598995	0.874782290705541	0.349634761733697	0.59175075444308
ENSGALG00000008554	IL17REL	interleukin 17 receptor E like [Source:NCBI gene;Acc:769256]	1	20198062	20240989	-1	protein_coding	-1.15071800310495	-1.62040036489082	7.49024624171534	0.00620340727611266	0.038929287510753
ENSGALG00000015016	SLC22A15	solute carrier family 22 member 15 [Source:NCBI gene;Acc:418336]	1	81130221	81161028	-1	protein_coding	-0.294060651874894	2.37436558265314	2.02315266164119	0.154917210566143	0.372939015466782
ENSGALG00000052027		fibronectin type III domain-containing protein 9-like [Source:NCBI gene;Acc:101748456]	1	131722616	131727023	-1	protein_coding	-0.834620802998499	-0.145030235412749	2.2421674218266	0.1342926241793	0.34396853719447
ENSGALG00000012552	TOM1	target of myb1 membrane trafficking protein [Source:NCBI gene;Acc:396049]	1	52116279	52137392	-1	protein_coding	0.128174867712612	4.66438313411543	1.98542260053658	0.158820310742481	0.378162098574448
ENSGALG00000016737	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2 [Source:NCBI gene;Acc:418680]	1	131746791	131757830	-1	protein_coding	0.0360248338821732	6.51114553786714	0.320723429761837	0.57117321420492	0.771469835857441
ENSGALG00000040038	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1 [Source:NCBI gene;Acc:417737]	1	20257352	20275372	-1	protein_coding	-2.4314809126427	-0.801926536557928	47.1093718094837	6.71339148478171e-12	3.03373365917653e-10
